form	lemma	POS	morph
ངུ་	ངུ་	NO_POS
སྟོང་	སྟོང་	NUM
		
ཕྲག་	ཕྲག་	NUM
བཅུ་	བཅུ་	NUM
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
རྩ་	རྩ་	NUM
བརྒྱད་	བརྒྱད་	NUM
		
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
ཡུལ་འཁོར་	ཡུལ་འཁོར་	NO_POS
དམ་པ་	དམ་པ་	VERB
རྒྱལ་ཕྲན་	རྒྱལ་ཕྲན་	NOUN
རྙེད་པ་	རྙེད་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
རོ་	རོ་	NOUN
། །		PUNCT
ཡང་ན་	ཡང་ན་	NO_POS
གསང་སྔགས་	གསང་སྔགས་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཡི་གེ་	ཡི་གེ་	NOUN
བདུན་པ་	བདུན་པ་	NUM
ནི་	ནི་	NO_POS
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
མངལ་	མངལ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ར་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དགའ་ལྡན་	དགའ་ལྡན་	PROPN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
གང་	གང་	NO_POS
འདོད་པ་	འདོད་པ་	VERB
དེ་	དེ་	DET
ར་	ལ་	PART
སྐྱེ་བ་	སྐྱེ་བ་	VERB
ར་	ལ་	PART
འདོད་	འདོད་	VERB
ན་	ན་	ADP
སྤེལ་ཚིག་	སྤེལ་ཚིག་	NO_POS
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
སྟོང་ཕྲག་	སྟོང་ཕྲག་	OTHER
བཅུ་	བཅུ་	NUM
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
༑		PUNCT
སྐྱེ་གནས་	སྐྱེ་གནས་	NOUN
ནི་	ནི་	NO_POS
གང་དང་གང་	གང་དང་གང་	NO_POS
དུ་	ལ་	PART
བསམས་པ་	བསམས་པ་	VERB
དག་	དག་	DET
དེ་	དེ་	DET
དང་	དང་	NO_POS
དེ་	དེ་	DET
ར་	ལ་	PART
ནི་	ནི་	NO_POS
སྐྱེ་བ་	སྐྱེ་བ་	VERB
ར་	ལ་	PART
ཐེ་ཚོམ་	ཐེ་ཚོམ་	NOUN
མེད་	མེད་	VERB
དོ་	གོ་	PART
། །		PUNCT
སྔ་	སྔ་	NOUN
གསུངས་པ་	གསུངས་པ་	VERB
དང་	དང་	NO_POS
འབྱུང་བ་	འབྱུང་བ་	VERB
