form	lemma	POS	morph
མཁྱེན་	མཁྱེན་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཕུང་པོ་	ཕུང་པོ་	NOUN
ཅན་	ཅན་	PART
། །		PUNCT
སྲིད་པ་	སྲིད་པ་	VERB
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྣམ་	རྣམ་	NOUN
སྦྱང་བ་	སྦྱང་བ་	VERB
། །		PUNCT
དེ་རིང་	དེ་རིང་	ADV
ཚིག་	ཚིག་	NOUN
གི་	གི་	PART
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྱི་	གི་	PART
། །		PUNCT
གཙོ་བོ་	གཙོ་བོ་	ADJ
བདག་	བདག་	PRON
ལ་	ལ་	ADP
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
སྐྱོབས་	སྐྱོབས་	VERB
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཞབས་	ཞབས་	NOUN
པདྨོ་		NON_WORD
སྤངས་	སྤངས་	VERB
ན་	ནས་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
གཙོ་བོ་	གཙོ་བོ་	ADJ
གཞན་	གཞན་	DET
ལ་	ལ་	ADP
སྐྱབས་	སྐྱབས་	NOUN
མ་	མ་	PART
མཆིས་	མཆིས་	VERB
། །		PUNCT
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
དཔའ་བོ་	དཔའ་བོ་	NOUN
ཐུབ་ཆེན་	ཐུབ་ཆེན་	NO_POS
གྱིས་	གིས་	PART
༑ ༑		PUNCT
བདག་	བདག་	PRON
ལ་	ལ་	ADP
ངེས་པ་		
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
ཅིག་	ཅིག་	PART
།		PUNCT
ཅེས་	ཅེས་	PART
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
གསོལ་བ་	གསོལ་བ་	VERB
བཏབ་པ་	བཏབ་པ་	VERB
ས་	གིས་	PART
སྔར་བཞིན་	སྔར་བཞིན་	NO_POS
དུ་	ལ་	PART
སློབ་མ་	སློབ་མ་	NOUN
འི་	གི་	PART
གདོང་	གདོང་	NOUN
གཡོགས་	གཡོགས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
བསམ་གཏན་	བསམ་གཏན་	NOUN
གྱི་	གི་	PART
འདུག་སྟངས་	འདུག་སྟངས་	NO_POS
ཀྱིས་	གིས་	PART
གནས་	གནས་	NOUN
སུ་	སུ་	ADP
བཅུག་	བཅུག་	VERB
ལ་	ལ་	ADP
།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
མྱོང་བ་	མྱོང་བ་	VERB
འི་	གི་	PART
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
འོད་གསལ་	འོད་གསལ་	NOUN
གྱི་	གི་	PART
རྗེས་	རྗེས་	NOUN
ལ་	ལ་	ADP
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
ཟུང་	ཟུང་	VERB
དུ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱིས་	གིས་	PART
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
གི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
མཚོན་པ་	མཚོན་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱིས་	གིས་	PART
ཚིག་	ཚིག་	NOUN
གིས་	གིས་	PART
ངོ་	ངོ་	PART
སྤྲད་པ་	སྤྲད་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དངོས་པོ་	དངོས་པོ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
། །		PUNCT
ཕུང་པོ་	ཕུང་པོ་	NOUN
ཁམས་	ཁམས་	NOUN
དང་	དང་	NO_POS
སྐྱེ་མཆེད་	སྐྱེ་མཆེད་	NOUN
དང་	དང་	NO_POS
།།		PUNCT
གཟུང་	གཟུང་	VERB
དང་	དང་	NO_POS
འཛིན་པ་	འཛིན་པ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
སྤངས་	སྤངས་	VERB
། །		PUNCT
ཆོས་བདག་	ཆོས་བདག་	NO_POS
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
མཉམ་པ་ཉིད་	མཉམ་པ་ཉིད་	NOUN
། །		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
གདོད་	གདོད་	NO_POS
ན་	ནས་	PART
མ་	མ་	PART
སྐྱེས་པ་	སྐྱེས་པ་	VERB
། །		PUNCT
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
ཀྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
ནོ་	གོ་	PART
། །		PUNCT
ཞེ་	ཅེས་	PART
བརྗོད་	བརྗོད་	VERB
ན་	ནས་	PART
དོནབཤད་		NON_WORD
དེ་	དེ་	DET
།		PUNCT
