form	lemma	POS	morph
པོ་	པོ་	PART
སྟེ་	སྟེ་	PART
ཡབ་	ཡབ་	NOUN
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱག་མཚན་	ཕྱག་མཚན་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ནི་	ནི་	NO_POS
གོང་མ་	གོང་མ་	ADJ
བཞིན་	བཞིན་	NOUN
ཏེ་	སྟེ་	PART
གསུམ་པ་	གསུམ་པ་	NUM
འི་	གི་	PART
དང་པོ་	དང་པོ་	ADJ
ཉིད་	ཉིད་	DET
དུ་	ལ་	PART
བརྗོད་	བརྗོད་	VERB
ཟིན་	ཟིན་	VERB
ཏོ་	གོ་	PART
། །		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
འབྲས་བུ་	འབྲས་བུ་	NOUN
འི་	གི་	PART
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ནི་	ནི་	NO_POS
ཟླ་བ་	ཟླ་བ་	NOUN
ཆུ་ཤེལ་	ཆུ་ཤེལ་	OTHER
ཏེ་	སྟེ་	PART
སྐུ་མདོག་	སྐུ་མདོག་	NOUN
དཀར་པོ་	དཀར་པོ་	ADJ
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
ཏོ་	གོ་	PART
། །		PUNCT
གལ་ཏེ་	གལ་ཏེ་	NO_POS
འདི་	འདི་	DET
མངོན་པ་	མངོན་པ་	OTHER
བྱང་ཆུབ་པ་	བྱང་ཆུབ་པ་	NOUN
སྔ་	སྔ་	NOUN
གོང་	གོང་	NOUN
དུ་	ལ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
ར་	ལ་	PART
རིགས་	རིགས་	NOUN
ཀྱི་	གི་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
ཅིའི་ཕྱིར་	ཅིའི་ཕྱིར་	NO_POS
བསྟན་	བསྟན་	VERB
ཅེ་ན་	ཅེ་ན་	PART
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
མངོན་པ་	མངོན་པ་	OTHER
བྱང་ཆུབ་པ་	བྱང་ཆུབ་པ་	NOUN
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
སུ་	སུ་	ADP
བབ་པ་	བབ་པ་	VERB
ས་	གིས་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
ན་	ན་	ADP
མི་	མི་	PART
འདྲ་བ་	འདྲ་བ་	VERB
འི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
རྟོགས་	རྟོགས་	VERB
སླ་བ་	སླ་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
བཤད་	བཤད་	VERB
དོ་	གོ་	PART
། །		PUNCT
གལ་ཏེ་	གལ་ཏེ་	NO_POS
འདི་	འདི་	DET
གཉིས་	གཉིས་	NUM
མི་	མི་	PART
འདྲ་བ་	འདྲ་བ་	VERB
ལ་	ལ་	ADP
དགོངས་པ་	དགོངས་པ་	VERB
ཅི་	ཅི་	NO_POS
ཡོད་	ཡོད་	VERB
ཅེ་ན་	ཅེ་ན་	PART
།		PUNCT
དབང་	དབང་	NOUN
