form	lemma	POS	morph
བསྒྲུབ་པ་	བསྒྲུབ་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
ཆོ་ག་	ཆོ་ག་	NOUN
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
དུ་མ་	དུ་མ་	ADJ
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ནི་	ནི་	NO_POS
གཞན་	གཞན་	DET
དུ་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
འདི་	འདི་	DET
འི་	གི་	PART
གཟུངས་	གཟུངས་	NOUN
རྣམས་	རྣམས་	DET
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
ཀྱི་	གི་	PART
ཁོངས་	ཁོངས་	NOUN
སུ་	སུ་	ADP
འདུ་	འདུ་	VERB
ཞིང་	ཞིང་	SCONJ
དེ་དག་	དེ་དག་	OTHER
གི་	གི་	PART
།		PUNCT
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
ཆོ་ག་	ཆོ་ག་	NOUN
འི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
གནས་	གནས་	NOUN
མོད་	མོད་	VERB
དེ་ལྟ་ན་	དེ་ལྟ་ན་	NO_POS
འང་	ཀྱང་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
རྒྱུད་པ་	རྒྱུད་པ་	NOUN
མན་ངག་	མན་ངག་	NOUN
རིམ་པ་	རིམ་པ་	NOUN
ས་	གིས་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
ཀྱི་	གི་	PART
རྗེས་	རྗེས་	NOUN
འབྲངས་	འབྲངས་	VERB
ན་	ནས་	PART
། །		PUNCT
ལྷ་མོ་	ལྷ་མོ་	NOUN
རྣམ་	རྣམ་	NOUN
ལྔ་བསྡུས་པ་	ལྔ་བསྡུས་པ་	NO_POS
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ཁོ་བོ་	ཁོ་བོ་	PRON
ས་	གིས་	PART
དེང་	དེང་	ADV
འདི་	འདི་	DET
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
ཟིན་	ཟིན་	VERB
ཏོ་	གོ་	PART
། །		PUNCT
དགེ་བ་	དགེ་བ་	VERB
གང་ཞིག་	གང་ཞིག་	NO_POS
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
ངོ་	ངོ་	NOUN
ལྟ་	ལྟ་	OTHER
རྒྱ་	རྒྱ་	NOUN
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
ཡངས་པ་	ཡངས་པ་	ADJ
གང་	གང་	NO_POS
བསྐྲུན་པ་	བསྐྲུན་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
རྦ་ཀློང་	རྦ་ཀློང་	NO_POS
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
འཁྲུགས་པ་	འཁྲུགས་པ་	VERB
འི་	གི་	PART
སྲིད་པ་	སྲིད་པ་	VERB
འི་	གི་	PART
མཚོ་	མཚོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ཀུན་	ཀུན་	DET
། །		PUNCT
རབ་ཏུ་	རབ་ཏུ་	NO_POS
བསྒྲལ་	བསྒྲལ་	NO_POS
ན་	ནས་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
ནོར་བུ་	ནོར་བུ་	NOUN
ས་	གིས་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
བཀྲ་བ་	བཀྲ་བ་	VERB
ཐར་བ་	ཐར་བ་	VERB
ཡི་	ཡི་	ADP
། །		PUNCT
གླིང་	གླིང་	NOUN
མཆོག་	མཆོག་	ADJ
དམ་པ་	དམ་པ་	VERB
ར་	ལ་	PART
སྟོབས་	སྟོབས་	NOUN
བཅུ་	བཅུ་	NUM
འི་	གི་	PART
སྟོབས་ལྡན་	སྟོབས་ལྡན་	ADJ
བསྙེངས་བྲལ་	བསྙེངས་བྲལ་	NO_POS
མཆོག་	མཆོག་	ADJ
ལ་	ལ་	ADP
འགོད་པ་	འགོད་པ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
།		PUNCT
བསྲུང་བ་	བསྲུང་བ་	VERB
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྗེ་ས་	རྗེ་ས་	NO_POS
སྐྱ་	སྐྱ་	VERB
པཎྜི་ཏ་	པཎྜི་ཏ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
རྡུལ་	རྡུལ་	NOUN
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
ས་	གིས་	PART
ལེན་པ་	ལེན་པ་	VERB
འི་	གི་	PART
དགེ་སློང་	དགེ་སློང་	NOUN
འཕགས་པ་	འཕགས་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ས་	གིས་	PART
།		PUNCT
ཤིང་མོ་	ཤིང་མོ་	NO_POS
ཡོས་བུ་	ཡོས་བུ་	NO_POS
འི་	གི་	PART
ལོ་	ལོ་	NOUN
གདུ་བུ་	གདུ་བུ་	OTHER
འི་	གི་	PART
ཟླ་བ་	ཟླ་བ་	NOUN
ལ་	ལ་	ADP
སྦྱར་བ་	སྦྱར་བ་	VERB
རྫོགས་	རྫོགས་	VERB
སོ་	སོ་	PART
། །		PUNCT
མངོན་པ་	མངོན་པ་	OTHER
རྟོགས་པ་	རྟོགས་པ་	VERB
སྟེ་	སྟེ་	PART
གཉིས་པ་	གཉིས་པ་	NUM
འོ་	གོ་	PART
།། །།༄༅། །		PUNCT
བསྟོད་པ་	བསྟོད་པ་	VERB
བཞུགས་	བཞུགས་	VERB
"། །

༄༅། །"		PUNCT
བསྲུང་བ་	བསྲུང་བ་	VERB
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
ལྷ་མོ་	ལྷ་མོ་	NOUN
ལ་	ལ་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
རྒྱལ་མོ་	རྒྱལ་མོ་	OTHER
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
མཛད་	མཛད་	VERB
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
རྩེ་		
། །		PUNCT
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
ནོར་བུ་	ནོར་བུ་	NOUN
གདུལ་བྱ་	གདུལ་བྱ་	NOUN
འི་	གི་	PART
དཔལ་	དཔལ་	OTHER
གྱུར་པ་	གྱུར་པ་	VERB
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	ADP
གུ་	གུ་	VERB
བཏུད་	བཏུད་	NO_POS
དེ་	དེ་	DET
། །		PUNCT
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
རྒྱལ་མོ་	རྒྱལ་མོ་	OTHER
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
ར་	ལ་	PART
བགྱི་	བགྱི་	VERB
། །		PUNCT
གཟུགས་ཕུང་	གཟུགས་ཕུང་	NO_POS
གནས་	གནས་	NOUN
གྱུར་	གྱུར་	VERB
གཏི་མུག་	གཏི་མུག་	NOUN
རྣམ་དག་པ་	རྣམ་དག་པ་	ADJ
། །		PUNCT
མེ་ལོང་	མེ་ལོང་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རང་བཞིན་	རང་བཞིན་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
། །		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ཡི་	ཡི་	ADP
རིགས་	རིགས་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་	བྱུང་	VERB
། །		PUNCT
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
འབྲང་	འབྲང་	VERB
མ་	མ་	PART
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	ADP
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
། །		PUNCT
སྟོན་	སྟོན་	VERB
ཟླ་ལྟར་	ཟླ་ལྟར་	NO_POS
གསལ་	གསལ་	VERB
ཞལ་	ཞལ་	NOUN
བཞི་	བཞི་	NUM
ཕྱག་	ཕྱག་	NOUN
བརྒྱད་	བརྒྱད་	NUM
མ་	མ་	PART
། །		PUNCT
གཡའ་	གཡའ་	NOUN
ཞལ་	ཞལ་	NOUN
ཆར་སྤྲིན་	ཆར་སྤྲིན་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
ར་	ལ་	PART
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
གནག་	གནག་	VERB
ཅིང་	ཅིང་	PART
། །		PUNCT
རྒྱབ་	རྒྱབ་	NOUN
ཞལ་གསེར་	ཞལ་གསེར་	NO_POS
མདོག་	མདོག་	NOUN
གཡོན་	གཡོན་	NOUN
ཞལ་	ཞལ་	NOUN
ཛ་བ་	ཛ་བ་	NO_POS
འི་	གི་	PART
མདངས་	མདངས་	NOUN
༑ ༑		PUNCT
གཙུག་ཏོར་	གཙུག་ཏོར་	PROPN
མཆོད་རྟེན་	མཆོད་རྟེན་	NOUN
གྱིས་	གིས་	PART
བརྒྱན་	བརྒྱན་	VERB
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
། །		PUNCT
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྱིས་	གིས་	PART
སྤྲ་	སྤྲ་	NO_POS
ས་	གིས་	PART
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
ལོན་པ་	ལོན་པ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
། །		PUNCT
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
མདའ་	མདའ་	NOUN
དང་	དང་	NO_POS
རལ་གྲི་	རལ་གྲི་	NOUN
གཡའ་	གཡའ་	NOUN
། །		PUNCT
ཞགས་པ་	ཞགས་པ་	NOUN
རྩེ་	རྩེ་	NOUN
གསུམ་	གསུམ་	NUM
གཞུ་	གཞུ་	NOUN
དང་	དང་	NO_POS
དགྲ་སྟ་	དགྲ་སྟ་	NO_POS
རྣམས་	རྣམས་	DET
། །		PUNCT
གཡོན་	གཡོན་	NOUN
གྱི་	གི་	PART
ཕྱག་	ཕྱག་	NOUN
ན་	ན་	ADP
བསྣམས་	བསྣམས་	NO_POS
ལ་	ལ་	ADP
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
། །		PUNCT
གདོང་	གདོང་	NOUN
བཞི་	བཞི་	NUM
ཞི་བ་	ཞི་བ་	VERB
དགའ་བྱེད་	དགའ་བྱེད་	OTHER
གོ་	གོ་	NOUN
སེར་ཅན་	སེར་ཅན་	NO_POS
། །		PUNCT
མཁའ་ལྡིང་	མཁའ་ལྡིང་	NOUN
