form	lemma	POS	morph
བདེ་སྐྱིད་	བདེ་སྐྱིད་	NOUN
དང་	དང་	NO_POS
།		PUNCT
མཐར་ཐུག་	མཐར་ཐུག་	NOUN
རྣམ་གྲོལ་	རྣམ་གྲོལ་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
བསྒྲུབ་པ་	བསྒྲུབ་པ་	VERB
འི་	གི་	PART
རྟེན་	རྟེན་	NOUN
དུ་	ལ་	PART
དལ་འབྱོར་	དལ་འབྱོར་	NOUN
གྱི་	གི་	PART
ལུས་	ལུས་	NOUN
དགོས་	དགོས་	VERB
ཤིང་	ཅིང་	PART
དེ་	དེ་	DET
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
ཆོ་	ཆོ་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
ས་	གིས་	PART
།		PUNCT
ཆོ་	ཆོ་	NOUN
བྱེད་པ་	བྱེད་པ་	VERB
ལ་	ལ་	ADP
འབད་	འབད་	VERB
དགོས་	དགོས་	VERB
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
ཆོ་	ཆོ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
བསྒྲུབ་པ་	བསྒྲུབ་པ་	VERB
འི་	གི་	PART
གཞི་	གཞི་	NOUN
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ཡིན་	ཡིན་	NO_POS
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
ཡང་དག་པ་	ཡང་དག་པ་	ADJ
ར་	ལ་	PART
བླང་བ་	བླང་བ་	VERB
འི་	གི་	PART
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
དེ་	དེ་	DET
ཡུལ་	ཡུལ་	NOUN
དང་	དང་	NO_POS
ཆོ་ག་	ཆོ་ག་	NOUN
ཕུན་སུམ་	ཕུན་སུམ་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
ས་	གིས་	PART
བླངས་	བླངས་	VERB
ན་	ན་	ADP
སྐྱེ་	སྐྱེ་	NOUN
ལ་མ་	ལ་མ་	NO_POS
བླངས་	བླངས་	VERB
ན་	ན་	ADP
མི་	མི་	PART
སྐྱེ་	སྐྱེ་	NOUN
།		PUNCT
ལེན་པ་	ལེན་པ་	VERB
ལ་	ལ་	ADP
འང་	ཀྱང་	PART
འགལ་རྐྱེན་	འགལ་རྐྱེན་	NOUN
བར་ཆད་	བར་ཆད་	NOUN
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
དང་	དང་	NO_POS
༑		PUNCT
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
རྐྱེན་	རྐྱེན་	NOUN
ཕུན་སུམ་	ཕུན་སུམ་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
གཉིས་	གཉིས་	NUM
དགོས་	དགོས་	VERB
།		PUNCT
དེ་	དེ་	DET
ལ་བ་	ལ་བ་	NOUN
ར་	ལ་	PART
ཆད་	ཆད་	VERB
ཕལ་ཆེ་བ་	ཕལ་ཆེ་བ་	OTHER
ཁྱོད་	ཁྱོད་	PRON
ལ་	ལ་	ADP
མེད་	མེད་	VERB
ཀྱང་	ཀྱང་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ཚང་བ་	ཚང་བ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
དུ་	ལ་	PART
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
འི་	གི་	PART
གསུང་	གསུང་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
བཞིན་	བཞིན་	NOUN
།		PUNCT
ང་	ང་	OTHER
		
དྲི་	དྲི་	NOUN
འི་	གི་	PART
		
ཞ་	ཞ་	OTHER
		
དྲི་	དྲི་	NOUN
ཡི་	གིས་	PART
		
ལན་	ལན་	NOUN
ཐོབ་	ཐོབ་	VERB
ཅིག་	ཅིག་	PART
ཅེས་	ཅེས་	PART
བརྗོད་	བརྗོད་	VERB
ལ་བ་	ལ་བ་	NOUN
ར་	ལ་	PART
ཆད་	ཆད་	VERB
དྲི་བ་	དྲི་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ལ་བ་	ལ་བ་	NOUN
ར་	ལ་	PART
ཆད་	ཆད་	VERB
རྣམས་	རྣམས་	DET
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
ལན་	ལན་	NOUN
བཏབ་པ་	བཏབ་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
འགལ་རྐྱེན་	འགལ་རྐྱེན་	NOUN
བར་ཆད་	བར་ཆད་	NOUN
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
རྐྱང་པ་	རྐྱང་པ་	NO_POS
ས་	གིས་	PART
མི་	མི་	PART
ཆོག་	ཆོག་	VERB
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
ཕུན་སུམ་	ཕུན་སུམ་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
ཚང་	ཚང་	VERB
དགོས་	དགོས་	VERB
།		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
ལྔ་	ལྔ་	NUM
ཡོད་པ་	ཡོད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྟེན་	རྟེན་	NOUN
རབ་	རབ་	ADV
དུ་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
བྱས་པ་	བྱས་པ་	VERB
འང་	ཀྱང་	PART
བཞུགས་	བཞུགས་	VERB
།		PUNCT
དགེ་འདུན་	དགེ་འདུན་	NOUN
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
གྲངས་	གྲངས་	NOUN
ཚང་བ་	ཚང་བ་	VERB
དང་	དང་	NO_POS
མཁན་པོ་	མཁན་པོ་	NOUN
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ཁོ་བོ་	ཁོ་བོ་	PRON
དང་	དང་	NO_POS
།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
དུ་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ཁོང་	ཁོང་	PRON
རྣམ་པ་	རྣམ་པ་	NOUN
བཞུགས་པ་	བཞུགས་པ་	VERB
འདི་	འདི་	DET
ས་	གིས་	PART
བླང་བ་	བླང་བ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
ཚང་	ཚང་	VERB
།		PUNCT
རྟེན་	རྟེན་	NOUN
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
རྐྱེན་	རྐྱེན་	NOUN
ཁྱེད་	ཁྱེད་	PRON
རང་	རང་	PRON
རྣམས་	རྣམས་	DET
ཡིན་	ཡིན་	NO_POS
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
གླིང་	གླིང་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
སྐྱེས་པ་	སྐྱེས་པ་	VERB
འི་	གི་	PART
སྐྱེས་པ་	སྐྱེས་པ་	VERB
དང་	དང་	NO_POS
བུད་མེད་	བུད་མེད་	NOUN
ལུས་	ལུས་	NOUN
དང་	དང་	NO_POS
བསམ་པ་	བསམ་པ་	VERB
ན་	ན་	ADP
ར་	ལ་	PART
སོན་པ་	སོན་པ་	VERB
།		PUNCT
ཆོ་ག་	ཆོ་ག་	NOUN
འི་	གི་	PART
སྤྱོད་ཡུལ་	སྤྱོད་ཡུལ་	NOUN
དུ་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
དགོས་	དགོས་	VERB
ཏེ་	སྟེ་	PART
དེ་	དེ་	DET
འང་	ཀྱང་	PART
ཚང་	ཚང་	VERB
།		PUNCT
ཡོ་བྱད་	ཡོ་བྱད་	NOUN
ལ་	ལ་	ADP
ཆོས་གོས་	ཆོས་གོས་	NOUN
དང་	དང་	NO_POS
ཤམ་ཐབས་	ཤམ་ཐབས་	NOUN
ལྷུང་བཟེད་	ལྷུང་བཟེད་	NOUN
གདིང་	གདིང་	NO_POS
བ་ཆུ་	བ་ཆུ་	NO_POS
ཚགས་	ཚགས་	OTHER
རྣམས་	རྣམས་	DET
ཀྱང་	ཀྱང་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
དང་	དང་	NO_POS
ལྡན་	ལྡན་	VERB
ཞིང་	ཞིང་	SCONJ
མཁན་པོ་	མཁན་པོ་	NOUN
འི་	གི་	PART
ཚིག་	ཚིག་	NOUN
གིས་	གིས་	PART
གནང་བ་	གནང་བ་	NO_POS
ཞིག་	ཅིག་	PART
དགོས་པ་	དགོས་པ་	VERB
ལ་	ལ་	ADP
།		PUNCT
རང་	རང་	PRON
ལ་	ལ་	ADP
མེད་	མེད་	VERB
ན་	ན་	ADP
གཡར་པོ་	གཡར་པོ་	NOUN
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
གོ་	གོ་	VERB
ཆོད་པ་	ཆོད་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
ཡིན་	ཡིན་	NO_POS
།		PUNCT
དེ་	དེ་	DET
ཁྱེད་	ཁྱེད་	PRON
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
གཡར་པོ་	གཡར་པོ་	NOUN
ཚུན་ཆད་	ཚུན་ཆད་	ADV
ཀྱི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
ཀྱང་	ཀྱང་	PART
ཚང་བ་	ཚང་བ་	VERB
ར་	ལ་	PART
ཡོད་པ་	ཡོད་པ་	VERB
ཡིན་	ཡིན་	NO_POS
།		PUNCT
བསམ་པ་	བསམ་པ་	VERB
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
རྐྱེན་	རྐྱེན་	NOUN
ལ་	ལ་	ADP
ངེས་པ་	ངེས་པ་	VERB
ལྔ་	ལྔ་	NUM
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གནས་	གནས་	NOUN
ངེས་པ་	ངེས་པ་	VERB
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
གནས་	གནས་	NOUN
གང་	གང་	NO_POS
དུ་	ལ་	PART
སྡོད་	སྡོད་	VERB
ཀྱང་	ཀྱང་	PART
བསྲུང་	བསྲུང་	NO_POS
།		PUNCT
དུས་	དུས་	NOUN
ངེས་པ་	ངེས་པ་	VERB
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
དུས་	དུས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དུ་	ལ་	PART
བསྲུང་	བསྲུང་	NO_POS
།		PUNCT
ཚེ་	ཚེ་	NOUN
ངེས་པ་	ངེས་པ་	VERB
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
འཁྲུག་པ་	འཁྲུག་པ་	VERB
དང་	དང་	NO_POS
འཐབ་པ་	འཐབ་པ་	VERB
དང་	དང་	NO_POS
སྐྱིད་	སྐྱིད་	NO_POS
བྱེད་པ་	བྱེད་པ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
གནས་སྐབས་	གནས་སྐབས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དུ་	ལ་	PART
བསྲུང་	བསྲུང་	NO_POS
།		PUNCT
ཡན་ལག་	ཡན་ལག་	NOUN
ངེས་པ་	ངེས་པ་	VERB
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
དགེ་ཚུལ་	དགེ་ཚུལ་	VERB
གྱི་	གི་	PART
སྡོམ་པ་	སྡོམ་པ་	NOUN
ཡན་ལག་	ཡན་ལག་	NOUN
མ་ཚང་བ་	མ་ཚང་བ་	NO_POS
མེད་པ་	མེད་པ་	VERB
བསྲུང་	བསྲུང་	NO_POS
།		PUNCT
ཡུལ་	ཡུལ་	NOUN
ངེས་པ་	ངེས་པ་	VERB
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
།		PUNCT
སྡོམ་པ་	སྡོམ་པ་	NOUN
དང་	དང་	NO_POS
འགལ་བ་	འགལ་བ་	VERB
སྐྱེད་པ་	སྐྱེད་པ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
མཐའ་དག་	མཐའ་དག་	DET
ལ་	ལ་	ADP
དམིགས་	དམིགས་	VERB
ཏེ་	སྟེ་	PART
བསྲུང་	བསྲུང་	NO_POS
སྙམ་པ་	སྙམ་པ་	VERB
གྱིས་	གིས་	PART
།		PUNCT
དེ་	དེ་	DET
ངེས་པ་	ངེས་པ་	VERB
ལྔ་	ལྔ་	NUM
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
ཡིན་	ཡིན་	NO_POS
།		PUNCT
ཀུན་སློང་	ཀུན་སློང་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
