form	lemma	POS	morph
དགོས་	དགོས་	VERB
ལ་	ལ་	ADP
།		PUNCT
ལྷ་	ལྷ་	NOUN
ར་	ལ་	PART
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
།		PUNCT
གོ་ཆ་	གོ་ཆ་	NOUN
བགོ་བ་	བགོ་བ་	NOUN
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
གིས་	གིས་	PART
དྲན་པ་	དྲན་པ་	VERB
ཙམ་	ཙམ་	DET
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
ནི་	ནི་	NO_POS
དབང་	དབང་	NOUN
གང་	གང་	NO_POS
འདོད་པ་	འདོད་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ལམ་	གམ་	PART
གང་	གང་	NO_POS
འདོད་པ་	འདོད་པ་	VERB
རྣམས་	རྣམས་	DET
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
སློབ་མ་	སློབ་མ་	NOUN
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	ADP
ཡོན་	ཡོན་	NOUN
དབུལ་	དབུལ་	NO_POS
ཞིང་	ཞིང་	SCONJ
གསོལ་བ་	གསོལ་བ་	VERB
གདབ་པ་	གདབ་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
སྟ་གོན་	སྟ་གོན་	NOUN
གྱི་	གི་	PART
སྔོན་	སྔོན་	ADV
དུ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
དཔའ་བོ་	དཔའ་བོ་	NOUN
བསྐུལ་བ་	བསྐུལ་བ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
སློབ་མ་	སློབ་མ་	NOUN
ས་	གིས་	PART
		
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
སློབ་མ་	སློབ་མ་	NOUN
ར་	ལ་	PART
འོས་པ་	འོས་པ་	VERB
རྣམས་	རྣམས་	DET
དང་	དང་	NO_POS
།		PUNCT
སོགས་	སོགས་	DET
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
དུ་	ལ་	PART
འོས་པ་	འོས་པ་	VERB
རྣམས་	རྣམས་	DET
སོ་	སོ་	PART
། །		PUNCT
ལག་པ་	ལག་པ་	NOUN
ས་	གིས་	PART
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ནི་	ནི་	NO_POS
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ལག་པ་	ལག་པ་	NOUN
གཡོན་པ་	གཡོན་པ་	ADJ
ས་	གིས་	PART
སློབ་མ་	སློབ་མ་	NOUN
འི་	གི་	PART
མཐེ་བོང་	མཐེ་བོང་	NOUN
གཡས་པ་	གཡས་པ་	VERB
འཛིན་པ་	འཛིན་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
ལག་པ་	ལག་པ་	NOUN
བཟུང་	བཟུང་	NO_POS
ན་	ནས་	PART
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
སློབ་མ་	སློབ་མ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱང་	ཀྱང་	PART
གྲལ་	གྲལ་	NOUN
གོང་མ་	གོང་མ་	ADJ
འི་	གི་	PART
ལག་པ་	ལག་པ་	NOUN
གཡོན་པ་	གཡོན་པ་	ADJ
ས་	གིས་	PART
འོག་མ་	འོག་མ་	ADJ
འི་	གི་	PART
མཐེ་བོང་	མཐེ་བོང་	NOUN
གཡས་པ་	གཡས་པ་	VERB
བཟུང་	བཟུང་	NO_POS
ལ་	ལ་	ADP
ཨོཾ་	ཨོཾ་	X
ཤྲཱི་		NON_WORD
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
