form	lemma	POS	morph
རོ་	རོ་	NOUN
༑ ༑		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
མིན་	མིན་	AUX
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
དེ་	དེ་	DET
ར་	ལ་	PART
བཏགས་	བཏགས་	VERB
ན་	ན་	ADP
། །		PUNCT
བཏགས་པ་	བཏགས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ཕྱི་	ཕྱི་	OTHER
དེ་	དེ་	DET
མི་	མི་	PART
འགོག་	འགོག་	NO_POS
།		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
ལ་	ལ་	ADP
མི་དགེ་བ་	མི་དགེ་བ་	NO_POS
ར་	ལ་	PART
། །		PUNCT
དགོས་པ་	དགོས་པ་	VERB
ཡོད་	ཡོད་	VERB
ན་	ན་	ADP
གདགས་	གདགས་	NO_POS
རུང་	རུང་	SCONJ
མོད་	མོད་	VERB
། །		PUNCT
དགོས་པ་	དགོས་པ་	VERB
མེད་	མེད་	VERB
ཕྱི་	ཕྱི་	OTHER
དེ་	དེ་	DET
མ་	མ་	PART
གསུངས་	གསུངས་	VERB
། །		PUNCT
ལ་ལ་	ལ་ལ་	PRON
ར་	ལ་	PART
རིགས་	རིགས་	NOUN
ཆད་	ཆད་	VERB
ཅེས་	ཅེས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
། །		PUNCT
དེ་	དེ་	DET
འདྲ་	འདྲ་	VERB
འི་	གི་	PART
རིགས་	རིགས་	NOUN
སུ་	སུ་	ADP
བཤད་	བཤད་	VERB
དུ་	ལ་	PART
རུང་	རུང་	SCONJ
། །		PUNCT
དགོངས་པ་	དགོངས་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
དེ་	དེ་	DET
འདྲ་	འདྲ་	VERB
ར་	ལ་	PART
བཤད་	བཤད་	VERB
། །		PUNCT
ཟ་	ཟ་	NOUN
དང་	དང་	NO_POS
འཁྲིག་པ་	འཁྲིག་པ་	VERB
འི་	གི་	PART
ཆགས་བྲལ་	ཆགས་བྲལ་	NOUN
སོགས་	སོགས་	DET
། །		PUNCT
ཆགས་བྲལ་	ཆགས་བྲལ་	NOUN
མིན་	མིན་	AUX
ཡང་	ཀྱང་	PART
དེ་	དེ་	DET
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
། །		PUNCT
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
དགེ་བ་	དགེ་བ་	VERB
མིན་པ་	མིན་པ་	VERB
ལ་	ལ་	ADP
། །		PUNCT
དགེ་བ་	དགེ་བ་	VERB
ར་	ལ་	PART
བཏགས་པ་	བཏགས་པ་	VERB
འི་	གི་	PART
དཔེ་	དཔེ་	NOUN
ཡིན་	ཡིན་	NO_POS
གྱི་	གི་	PART
། །		PUNCT
དེ་དག་	དེ་དག་	OTHER
ཆགས་བྲལ་	ཆགས་བྲལ་	NOUN
མཚན་ཉིད་པ་	མཚན་ཉིད་པ་	NOUN
ར་	ལ་	PART
། །		PUNCT
བཤད་པ་	བཤད་པ་	VERB
ར་	ལ་	PART
ཁོ་བོ་	ཁོ་བོ་	PRON
མི་	མི་	PART
འདོད་	འདོད་	VERB
དོ་	གོ་	PART
། །		PUNCT
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
སྦྱོར་	སྦྱོར་	VERB
བྱུང་	བྱུང་	VERB
དགེ་བ་	དགེ་བ་	VERB
རུ་	ལ་	PART
། །		PUNCT
གལ་ཏེ་	གལ་ཏེ་	NO_POS
ཁྱེད་	ཁྱེད་	PRON
ཀྱང་	ཀྱང་	PART
མི་	མི་	PART
བཞེད་	བཞེད་	VERB
ན་	ན་	ADP
། །		PUNCT
ངེད་	ངེད་	PRON
ཀྱང་	ཀྱང་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
འདོད་པ་	འདོད་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
། །		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
དྲི་བ་	དྲི་བ་	VERB
ཅི་ཞིག་	ཅི་ཞིག་	NO_POS
མཆིས་	མཆིས་	VERB
། །		PUNCT
སྦྱོར་	སྦྱོར་	VERB
བྱུང་	བྱུང་	VERB
མིན་པ་	མིན་པ་	VERB
ཉིད་	ཉིད་	DET
ཀྱིས་	གིས་	PART
ན་	ན་	ADP
། །		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
མིན་	མིན་	AUX
ཕྱི་	ཕྱི་	OTHER
མིང་	མིང་	NOUN
མི་	མི་	PART
འགོག་	འགོག་	NO_POS
།		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྤྱོད་ཡུལ་	སྤྱོད་ཡུལ་	NOUN
ལ་	ལ་	ADP
། །		PUNCT
དགེ་	དགེ་	NOUN
དང་	དང་	NO_POS
སྡིག་པ་	སྡིག་པ་	VERB
གཟིགས་པ་	གཟིགས་པ་	VERB
