form	lemma	POS	morph
བཟློག་	བཟློག་	VERB
ཏུ་	ལ་	PART
མ་	མ་	PART
འདོད་པ་	འདོད་པ་	VERB
ལ་	ལ་	ADP
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
ཀྱིས་	གིས་	PART
གཞན་འཕྲུལ་	གཞན་འཕྲུལ་	NO_POS
དབང་	དབང་	NOUN
བྱེད་	བྱེད་	VERB
ཀྱི་	གི་	PART
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ལ་	ལ་	ADP
ལྷ་མོ་	ལྷ་མོ་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
གི་	གི་	PART
འཁོར་	འཁོར་	NOUN
གྱིས་	གིས་	PART
བསྐོར་བ་	བསྐོར་བ་	VERB
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གཞན་འཕྲུལ་	གཞན་འཕྲུལ་	NO_POS
དབང་	དབང་	NOUN
བྱེད་	བྱེད་	VERB
ཀྱི་	གི་	PART
ལྷ་མོ་	ལྷ་མོ་	NOUN
རྣམས་	རྣམས་	DET
།		PUNCT
དཔེར་ན་	དཔེར་ན་	NO_POS
གསེར་	གསེར་	NOUN
གྱི་	གི་	PART
མཆོད་སྡོང་	མཆོད་སྡོང་	NOUN
གི་	གི་	PART
རྩ་	རྩ་	NUM
ར་	ལ་	PART
སོལ་བ་	སོལ་བ་	NOUN
འི་	གི་	PART
སྡོང་པོ་	སྡོང་པོ་	NOUN
འམ་	གམ་	PART
།		PUNCT
ལྕགས་	ལྕགས་	NOUN
ཀྱི་	གི་	PART
སྡོང་པོ་	སྡོང་པོ་	NOUN
བཞག་པ་	བཞག་པ་	VERB
ལྟ་	ལྟ་	OTHER
ནག་པ་	ནག་པ་	VERB
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
།		PUNCT
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
ཀྱི་	གི་	PART
འཁོར་	འཁོར་	NOUN
གྱི་	གི་	PART
ལྷ་མོ་	ལྷ་མོ་	NOUN
རྣམས་	རྣམས་	DET
གསེར་	གསེར་	NOUN
གྱི་	གི་	PART
མཆོད་སྡོང་	མཆོད་སྡོང་	NOUN
ངམ་	གམ་	PART
།		PUNCT
ལྷ་མོ་	ལྷ་མོ་	NOUN
ལྟ་	ལྟ་	OTHER
འདོད་པ་	འདོད་པ་	VERB
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
ན་	ནས་	PART
།		PUNCT
ཁོ་ན་	ཁོ་ན་	DET
རེ་	རེ་	DET
།		PUNCT
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
ཀྱི་	གི་	PART
འཁོར་	འཁོར་	NOUN
ཕུན་སུམ་	ཕུན་སུམ་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
འདི་	འདི་	DET
བདག་	བདག་	PRON
གིས་	གིས་	PART
ཇི་ལྟ་		
ཐོབ་པ་	ཐོབ་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
ཟེར་བ་	ཟེར་བ་	VERB
ལ་	ལ་	ADP
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
གདོད་	གདོད་	NO_POS
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
ཀྱིས་	གིས་	PART
ཁོ་	ཁོ་	PRON
སྐྱབས་	སྐྱབས་	NOUN
སུ་	སུ་	ADP
འགྲོ་བ་	འགྲོ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཏུ་	ལ་	PART
སེམས་བསྐྱེད་པ་	སེམས་བསྐྱེད་པ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
ས་	ས་	ADP
བརྒྱད་པ་	བརྒྱད་པ་	NUM
ལ་	ལ་	ADP
བཀོད་	བཀོད་	VERB
དོ་	གོ་	PART
། །		PUNCT
ཕྲག་དོག་	ཕྲག་དོག་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ལ་	ལ་	ADP
བི་	བི་	NO_POS
ནཱ་	ནཱ་	NO_POS
ཡ་	ཡ་	NOUN
ཀ་	ཀ་	DET
འི་	གི་	PART
