form	lemma	POS	morph
བཀ་	བཀའ་	NOUN
ས་	གིས་	PART
མ་	མ་	PART
གནང་	གནང་	NO_POS
བ་	བ་	ADP
མ་	མ་	PART
བྲིས་	བྲིས་	VERB
སོ་	སོ་	PART
། །		PUNCT
གཞན་	གཞན་	DET
ཡང་	ཀྱང་	PART
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	ADP
གུས་པ་	གུས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
རྗེ་	རྗེ་	NO_POS
བླ་མ་	བླ་མ་	NOUN
ཡབ་	ཡབ་	NOUN
སྲ་	སྲ་	NOUN
ངེས་པ་		
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
ཡིན་པ་	ཡིན་པ་	AUX
ལ་	ལ་	ADP
ཐེ་ཚོམ་	ཐེ་ཚོམ་	NOUN
མམ་	གམ་	PART
།		PUNCT
ཡིད་གཉིས་	ཡིད་གཉིས་	NO_POS
གཏན་	གཏན་	NOUN
མི་	མི་	PART
མངའ་བ་	མངའ་བ་	VERB
ཡིན་པ་	ཡིན་པ་	AUX
ར་	ལ་	PART
ངེས་	ངེས་	VERB
ལ་	ལ་	ADP
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
དེ་དག་	དེ་དག་	OTHER
ཞལ་བཞུགས་པ་	ཞལ་བཞུགས་པ་	NO_POS
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
སྐུ་གསུང་ཐུགས་	སྐུ་གསུང་ཐུགས་	NOUN
ཇི་ལྟ་		
མཉེས་པ་	མཉེས་པ་	VERB
བཞིན་	བཞིན་	NOUN
བསྒྲུབས་	བསྒྲུབས་	VERB
ན་	ནས་	PART
ཐ་ན་	ཐ་ན་	NO_POS
ཀྱལ་ཀ་	ཀྱལ་ཀ་	NOUN
འི་	གི་	PART
ཕྱིར་ཡང་	ཕྱིར་ཡང་	PART
གསུང་	གསུང་	VERB
མ་	མ་	PART
བཟློག་	བཟློག་	VERB
ལ་	ལ་	ADP
།		PUNCT
སྐུ་	སྐུ་	NOUN
འདའ་བ་	འདའ་བ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
གླུད་	གླུད་	NO_POS
དུ་	ལ་	PART
གཏོང་བ་	གཏོང་བ་	VERB
འི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
མཛད་	མཛད་	VERB
ལ་	ལ་	ADP
།		PUNCT
སྐུ་	སྐུ་	NOUN
འདའ་	འདའ་	VERB
ན་	ནས་	PART
ཀྱང་	ཀྱང་	PART
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
ས་སྐྱ་པ་	ས་སྐྱ་པ་	PROPN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
འདད་	འདད་	NO_POS
ལ་	ལ་	ADP
ཕྱོགས་	ཕྱོགས་	NOUN
ཀྱི་	གི་	PART
དགེ་བ་	དགེ་བ་	VERB
འི་	གི་	PART
བཤེས་གཉེན་	བཤེས་གཉེན་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
རྣམས་	རྣམས་	DET
སྤྱན་	སྤྱན་	NOUN
དྲངས་	དྲངས་	NO_POS
ན་	ནས་	PART
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
མཛད་	མཛད་	VERB
།		PUNCT
འབུམ་	འབུམ་	NUM
ཆ་	ཆ་	NOUN
ལྔ་	ལྔ་	NUM
བཅུ་	བཅུ་	NUM
ཙམ་	ཙམ་	DET
།		PUNCT
ཉི་ཁྲི་	ཉི་ཁྲི་	OTHER
བརྒྱ་	བརྒྱ་	NUM
སུམ་ཅུ་	སུམ་ཅུ་	OTHER
ལྷག་	ལྷག་	NOUN
གཅིག་	གཅིག་	NUM
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
བརྩེགས་པ་	བརྩེགས་པ་	VERB
བརྒྱད་ཅུ་	བརྒྱད་ཅུ་	NO_POS
ལྷག་	ལྷག་	NOUN
གཅིག་	གཅིག་	NUM
དང་	དང་	NO_POS
།		PUNCT
དེ་	དེ་	DET
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ཆོ་	ཆོ་	NOUN
དང་	དང་	NO_POS
ཟང་ཟིང་	ཟང་ཟིང་	NOUN
བརྗོད་	བརྗོད་	VERB
ཀྱིས་	གིས་	PART
མི་	མི་	PART
ལང་བ་	ལང་བ་	VERB
དེང་སང་	དེང་སང་	ADV
གི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
ཡང་	ཀྱང་	PART
སྐྱེ་བོ་	སྐྱེ་བོ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
སྙན་གྲགས་	སྙན་གྲགས་	NOUN
སྒྲོགས་པ་	སྒྲོགས་པ་	VERB
མཛད་	མཛད་	VERB
ལ་	ལ་	ADP
།		PUNCT
ཡང་སློབ་	ཡང་སློབ་	NOUN
དཔོན་	དཔོན་	NOUN
གཅེན་	གཅེན་	NOUN
རྒྱ་གར་	རྒྱ་གར་	PROPN
དུ་	ལ་	PART
ལོ་	ལོ་	NOUN
ཙཱ་	ཙཱ་	NO_POS
སློབ་པ་	སློབ་པ་	VERB
།		PUNCT
མ་	མ་	PART
ག་	ག་	PRON
ངྷཱར་		NON_WORD
སྐུ་གཤེགས་པ་	སྐུ་གཤེགས་པ་	NO_POS
འི་	གི་	PART
འདད་	འདད་	NO_POS
ལ་	ལ་	ADP
ཡང་	ཀྱང་	PART
།		PUNCT
ལོ་པཎ་	ལོ་པཎ་	NOUN
སྤྱན་	སྤྱན་	NOUN
དྲངས་པ་	དྲངས་པ་	VERB
འི་	གི་	PART
ཆོས་འཁོར་	ཆོས་འཁོར་	NOUN
མཛད་	མཛད་	VERB
ན་	ནས་	PART
།		PUNCT
ཆོ་	ཆོ་	NOUN
དང་	དང་	NO_POS
ཟང་ཟིང་	ཟང་ཟིང་	NOUN
གི་	གི་	PART
སྤྱིན་	སྤྱིན་	NO_POS
གཏོང་	གཏོང་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
མཛད་	མཛད་	VERB
དོ་	གོ་	PART
། །		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
སྐུ་	སྐུ་	NOUN
འདའ་	འདའ་	VERB
ན་	ནས་	PART
།		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
ཀྱི་	གི་	PART
དགེ་བ་	དགེ་བ་	VERB
འི་	གི་	PART
བཤེས་གཉེན་	བཤེས་གཉེན་	NOUN
རྣམས་	རྣམས་	DET
སྤྱན་	སྤྱན་	NOUN
དྲངས་	དྲངས་	NO_POS
ན་	ནས་	PART
།		PUNCT
