form	lemma	POS	morph
དོར་	དོར་	VERB
རོ་	རོ་	NOUN
ཞེས་་	ཞེས་པ་	PART
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
བདག་	བདག་	PRON
གིས་	གིས་	PART
གཞན་	གཞན་	DET
ལ་	ལ་	ADP
ཁྱོད་	ཁྱོད་	PRON
བཙོངས་	བཙོངས་	NO_POS
ཀྱིས་	གིས་	PART
། །		PUNCT
སྐྱོ་བ་	སྐྱོ་བ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
སེམས་	སེམས་	NOUN
ཞོ་ཤ་	ཞོ་ཤ་	NOUN
ཕུལ་	ཕུལ་	VERB
། །		PUNCT
གལ་ཏེ་	གལ་ཏེ་	NO_POS
བག་མེད་	བག་མེད་	NOUN
གྱུར་པ་	གྱུར་པ་	VERB
ཁྱཻད་		NON_WORD
། །		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
རྣམས་	རྣམས་	DET
ལ་མ་	ལ་མ་	NO_POS
བྱིན་	བྱིན་	VERB
ན་	ན་	ADP
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
ཁོ་བོ་	ཁོ་བོ་	PRON
དམྱལ་བ་	དམྱལ་བ་	NOUN
ཡི་	ཡི་	ADP
། །		PUNCT
སྲུང་མ་	སྲུང་མ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
བྱིན་	བྱིན་	VERB
དུ་	ལ་	PART
ངེས་	ངེས་	VERB
། །		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ནི་	ནི་	NO_POS
སེམས་བསྐྱེད་པ་	སེམས་བསྐྱེད་པ་	NOUN
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
སེམས་ཅན་	སེམས་ཅན་	NOUN
ལ་	ལ་	ADP
ང་	ང་	OTHER
བཙོངས་	བཙོངས་	NO_POS
ཟིན་	ཟིན་	VERB
ལ་	ལ་	ADP
།		PUNCT
མ་	མ་	PART
བཙོངས་	བཙོངས་	NO_POS
ན་	ན་	ADP
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
ང་	ང་	PRON
དམྱལ་བ་	དམྱལ་བ་	NOUN
འི་	གི་	PART
སྲུང་མ་	སྲུང་མ་	NOUN
ལ་	ལ་	ADP
བྱིན་	བྱིན་	VERB
ངེས་	ངེས་	VERB
ཞེ་	ཅེས་	PART
དྲན་པ་	དྲན་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
གྲངས་མེད་པ་	གྲངས་མེད་པ་	NOUN
ར་	ལ་	PART
།		PUNCT
ཁོ་བོ་	ཁོ་བོ་	PRON
བྱིན་པ་	བྱིན་པ་	VERB
ས་	གིས་	PART
ཡུན་རིང་	ཡུན་རིང་	NOUN
སྡུག་	སྡུག་	VERB
།		PUNCT
ད་ནི་	ད་ནི་	NO_POS
འཁོན་	འཁོན་	VERB
རྣམས་	རྣམས་	DET
དྲན་	དྲན་	VERB
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
རང་དོན་	རང་དོན་	NOUN
སེམས་པ་	སེམས་པ་	VERB
གཞོམ་	གཞོམ་	NO_POS
། །		PUNCT
ཞེ་	ཅེས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
མཉམ་པ་	མཉམ་པ་	VERB
དང་	དང་	NO_POS
བརྗེ་བ་	བརྗེ་བ་	VERB
བསྒོམས་	བསྒོམས་	VERB
ཀྱང་	ཀྱང་	PART
བདག་	བདག་	PRON
གི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
ལ་མ་	ལ་མ་	NO_POS
སྐྱེ་	སྐྱེ་	VERB
ཤིང་	ཅིང་	PART
།		PUNCT
ལག་ལེན་	ལག་ལེན་	NOUN
ལ་མ་	ལ་མ་	NO_POS
ཐེབས་	ཐེབས་	VERB
ན་	ན་	ADP
རྟ་རྒོད་	རྟ་རྒོད་	NOUN
ལྕག་	ལྕག་	NOUN
གིས་	གིས་	PART
བསྐུལ་བ་	བསྐུལ་བ་	VERB
ལྟ་	ལྟ་	OTHER
།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
སེམས་	སེམས་	NOUN
ལ་	ལ་	ADP
གནད་	གནད་	NOUN
དུ་	ལ་	PART
ཕབ་	ཕབ་	VERB
ན་	ནས་	PART
སྟོབས་	སྟོབས་	NOUN
ཀྱིས་	གིས་	PART
ལག་	ལག་	NOUN
ཏུ་	ལ་	PART
བླང་	བླང་	NO_POS
སྟེ་	སྟེ་	PART
།		PUNCT
		
ཞ་	ཞ་	OTHER
		
སྤྱོད་འཇུག་	སྤྱོད་འཇུག་	PROPN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
		
ཡིད་	ཡིད་	NOUN
ཁྱོད་	ཁྱོད་	PRON
རང་དོན་	རང་དོན་	NOUN
བྱེད་	བྱེད་	VERB
འདོད་པ་	འདོད་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
བསྐལ་པ་	བསྐལ་པ་	NOUN
གྲངས་མེད་	གྲངས་མེད་	NOUN
འདའ་	འདའ་	VERB
གྱུར་	གྱུར་	VERB
ཀྱང་	ཀྱང་	PART
། །		PUNCT
ངལ་བ་	ངལ་བ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བུ་	བུ་	NOUN
༑		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
འབའ་ཞིག་	འབའ་ཞིག་	NO_POS
བསྒྲུབས་	བསྒྲུབས་	VERB
། །		PUNCT
ཞེ་	ཅེས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
ས་	གིས་	PART
བསྐལ་པ་	བསྐལ་པ་	NOUN
དཔག་	དཔག་	VERB
ཏུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
རང་དོན་	རང་དོན་	NOUN
བསྒྲུབས་	བསྒྲུབས་	VERB
ཀྱང་	ཀྱང་	PART
།		PUNCT
རང་དོན་	རང་དོན་	NOUN
མ་གྲུབ་པ་	མ་གྲུབ་པ་	NO_POS
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
དུ་	ལ་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
འབའ་ཞིག་	འབའ་ཞིག་	NO_POS
བསྒྲུབས་	བསྒྲུབས་	VERB
ཀྱི་	གི་	PART
།		PUNCT
བདེ་བ་	བདེ་བ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
ཀྱང་	ཀྱང་	PART
མ་	མ་	PART
བྱ་	བྱ་	VERB
སོ་	སོ་	PART
ཞེ་	ཅེས་	PART
རང་	རང་	PRON
གི་	གི་	PART
སེམས་	སེམས་	NOUN
ལ་	ལ་	ADP
ཁྲེལ་	ཁྲེལ་	NO_POS
འདེད་	འདེད་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
གྱི་	གི་	PART
རྟོག་	རྟོག་	VERB
ཆེན་	ཆེན་	NO_POS
བྱ་	བྱ་	VERB
ན་	ནས་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
བདག་	བདག་	PRON
གི་	གི་	PART
ལུས་	ལུས་	NOUN
ལ་	ལ་	ADP
ཅི་	ཅི་	NO_POS
སྣང་བ་	སྣང་བ་	VERB
། །		PUNCT
དེ་	དེ་	DET
དང་	དང་	NO_POS
དེ་	དེ་	DET
ནི་	ནི་	NO_POS
ཕྲོགས་	ཕྲོགས་	VERB
ན་	ནས་	PART
ཀྱང་	ཀྱང་	PART
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱིས་	གིས་	PART
གཞན་	གཞན་	DET
ལ་	ལ་	ADP
ཕན་པ་	ཕན་པ་	VERB
ར་	ལ་	PART
སྦྱོར་	སྦྱོར་	VERB
།།		PUNCT
ཞེས་་	ཞེས་པ་	PART
ས་	གིས་	PART
གཞན་	གཞན་	DET
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
མི་	མི་	PART
བསྔལ་	བསྔལ་	VERB
གྱི་	གི་	PART
བྱ་ར་	བྱ་ར་	NOUN
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
།		PUNCT
སྡུག་བསྔལ་བ་	སྡུག་བསྔལ་བ་	NOUN
མཐོང་	མཐོང་	VERB
ན་	ན་	ADP
༑		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
སེར་སྣ་	སེར་སྣ་	NOUN
ལ་	ལ་	ADP
སྟོབས་	སྟོབས་	NOUN
ཀྱིས་	གིས་	PART
ཕྲོགས་	ཕྲོགས་	VERB
ཏེ་	སྟེ་	PART
སྡུག་བསྔལ་བ་	སྡུག་བསྔལ་བ་	NOUN
དེ་	དེ་	DET
ལ་	ལ་	ADP
ཅི་	ཅི་	NO_POS
ཕན་པ་	ཕན་པ་	VERB
