form	lemma	POS	morph
དཀར་ཆག་	དཀར་ཆག་	NOUN
གཤིན་རྗེ་	གཤིན་རྗེ་	OTHER
གཤེད་	གཤེད་	NOUN
དགྲ་ནག་པོ་	དགྲ་ནག་པོ་	PROPN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
།		PUNCT
		
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཇིགས་བྱེད་	འཇིགས་བྱེད་	OTHER
ཀྱི་	གི་	PART
མངོན་པ་	མངོན་པ་	OTHER
རྟོགས་པ་	རྟོགས་པ་	VERB
།		PUNCT
		
འཇིགས་བྱེད་	འཇིགས་བྱེད་	OTHER
ཕྱག་	ཕྱག་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
འི་	གི་	PART
མངོན་རྟོགས་	མངོན་རྟོགས་	NOUN
ཚོགས་འཁོར་	ཚོགས་འཁོར་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
		
ཡང་	ཀྱང་	PART
འཇིགས་བྱེད་	འཇིགས་བྱེད་	OTHER
ཕྱག་	ཕྱག་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
འཇིགས་བྱེད་	འཇིགས་བྱེད་	OTHER
ཕྱག་	ཕྱག་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
ཡང་	ཀྱང་	PART
ཕྱག་	ཕྱག་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
ཡང་	ཀྱང་	PART
དེ་	དེ་	DET
འི་	གི་	PART
བདག་འཇུག་	བདག་འཇུག་	OTHER
		
དེ་	དེ་	DET
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
		
འཇིགས་བྱེད་	འཇིགས་བྱེད་	OTHER
ཞེ་	ཞེ་	PART
དགུ་	དགུ་	NUM
མ་	མ་	PART
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
རབ་གནས་	རབ་གནས་	NOUN
ཕྱག་ལེན་	ཕྱག་ལེན་	NOUN
མདོར་བསྡུས་	མདོར་བསྡུས་	OTHER
།		PUNCT
		
གཤེད་	གཤེད་	NOUN
དམར་	དམར་	VERB
ལྷ་	ལྷ་	NOUN
བཅུ་གསུམ་	བཅུ་གསུམ་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
དལ་	དལ་	NOUN
གྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
གཤེད་	གཤེད་	NOUN
དམར་	དམར་	VERB
ལྷ་	ལྷ་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
དལ་	དལ་	NOUN
གྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
གཤིན་རྗེ་	གཤིན་རྗེ་	OTHER
རྣམ་	རྣམ་	NOUN
རོལ་	རོལ་	VERB
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ཚོགས་འཁོར་	ཚོགས་འཁོར་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
		
གཤེད་	གཤེད་	NOUN
དམར་	དམར་	VERB
ལྷན་སྐྱེས་	ལྷན་སྐྱེས་	ADJ
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
ཡང་	ཀྱང་	PART
ལྷན་སྐྱེས་	ལྷན་སྐྱེས་	ADJ
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཐེག་པ་	ཐེག་པ་	NOUN
འི་	གི་	PART
རྩ་	རྩ་	NUM
ལཏུང་		NON_WORD
གི་	གི་	PART
རྣམ་	རྣམ་	NOUN
བསད་	བསད་	NO_POS
དམ་ཚིག་	དམ་ཚིག་	NOUN
རབ་གསལ་	རབ་གསལ་	PROPN
།		PUNCT
		
བླ་མ་	བླ་མ་	NOUN
ལྔ་	ལྔ་	NUM
བཅུ་པ་	བཅུ་པ་	NUM
འི་	གི་	PART
བསྡུས་དོན་	བསྡུས་དོན་	NOUN
།		PUNCT
		
སྦྱོང་	སྦྱོང་	VERB
རྒྱུད་	རྒྱུད་	NOUN
ན་	ནས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
ཀྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
མགོན་པོ་	མགོན་པོ་	NOUN
ཚེ་	ཚེ་	NOUN
དཔག་	དཔག་	VERB
ཏུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ཟབ་མོ་	ཟབ་མོ་	ADJ
།		PUNCT
		
ཚེ་	ཚེ་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
ཀྱི་	གི་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
པདྨོའི་		NON_WORD
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
།		PUNCT
		
འོད་	འོད་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
ཀྱི་	གི་	PART
བསྒོམ་	བསྒོམ་	VERB
ཐབས་	ཐབས་	NOUN
།		PUNCT
		
མི་	མི་	PART
འཁུགས་པ་	འཁུགས་པ་	NO_POS
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
		
ཕྱག་	ཕྱག་	NOUN
ན་	ན་	ADP
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
སྒོམ་ཐབས་	སྒོམ་ཐབས་	NOUN
།		PUNCT
		
རྣམ་	རྣམ་	NOUN
འཇོམས་	འཇོམས་	NO_POS
སྒྲུབ་	སྒྲུབ་	VERB
སྐོར་	སྐོར་	NOUN
བྱབ་	བྱབ་	NO_POS
སྲུང་	སྲུང་	VERB
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
		
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
གྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
དཔའ་བོ་	དཔའ་བོ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དང་	དང་	NO_POS
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
གི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
།		PUNCT
		
ཡང་	ཀྱང་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཕྱག་	ཕྱག་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
སེངྒེ་		NON_WORD
སྒྲ་	སྒྲ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
ཁྱུང་	ཁྱུང་	NOUN
གཤོག་	གཤོག་	VERB
ཅན་	ཅན་	PART
གྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
བྱམས་པ་	བྱམས་པ་	PROPN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
མི་གཡོ་བ་	མི་གཡོ་བ་	NO_POS
སྔོན་པ་	སྔོན་པ་	ADV
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
མི་གཡོ་བ་	མི་གཡོ་བ་	NO_POS
ཕྱག་	ཕྱག་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
དེ་	དེ་	DET
འི་	གི་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
།		PUNCT
		
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རྒྱལ་མ་	རྒྱལ་མ་	OTHER
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
སྟོང་མཆོད་	སྟོང་མཆོད་	OTHER
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
		
གདུགས་དཀར་	གདུགས་དཀར་	NO_POS
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
གཟུངས་	གཟུངས་	NOUN
བཀླག་	བཀླག་	VERB
ཐབས་	ཐབས་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
		
རི་ཁྲོད་	རི་ཁྲོད་	NOUN
ལོ་མ་	ལོ་མ་	NOUN
ཅན་	ཅན་	PART
གཟུངས་	གཟུངས་	NOUN
མཆོག་	མཆོག་	ADJ
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
		
རི་ཁྲོད་	རི་ཁྲོད་	NOUN
མ་	མ་	PART
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
རི་ཁྲོད་	རི་ཁྲོད་	NOUN
མ་	མ་	PART
འི་	གི་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
།		PUNCT
		
བསྲུང་བ་	བསྲུང་བ་	VERB
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
དབང་	དབང་	NOUN
ཆོག་	ཆོག་	VERB
གི་	གི་	PART
སྐོར་	སྐོར་	NOUN
རྣམས་	རྣམས་	DET
།		PUNCT
		
དབང་	དབང་	NOUN
བསྐུར་བ་	བསྐུར་བ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འི་	གི་	PART
སྡོམ་ཚིག་	སྡོམ་ཚིག་	OTHER
		
ཨ་རོག་	ཨ་རོག་	NO_POS
ཆེ་	ཆེ་	VERB
ལ་	ལ་	ADP
གནང་བ་	གནང་བ་	NO_POS
འི་	གི་	PART
བཀྲ་ཤིས་	བཀྲ་ཤིས་	NOUN
།		PUNCT
		
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ལ་	ལ་	ADP
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
རྣམ་བཤད་	རྣམ་བཤད་	NOUN
།		PUNCT
		
འཕགས་མ་	འཕགས་མ་	OTHER
འོད་ཟེར་	འོད་ཟེར་	NOUN
ཅན་	ཅན་	PART
མ་	མ་	PART
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
འོད་ཟེར་	འོད་ཟེར་	NOUN
ཅན་	ཅན་	PART
གྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བསྟོད་པ་	བསྟོད་པ་	VERB
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
།		PUNCT
		
ཡང་	ཀྱང་	PART
དེ་	དེ་	DET
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
།		PUNCT
		
དེ་	དེ་	DET
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
གི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
		
ཡང་	ཀྱང་	PART
དེ་	དེ་	DET
