form	lemma	POS	morph
བཟླས་	བཟླས་	NO_POS
ལ་	ལ་	ADP
བཞག་	བཞག་	VERB
དེ་ནས་	དེ་ནས་	NO_POS
ཐབ་ཁུང་	ཐབ་ཁུང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
དང་	དང་	NO_POS
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
དང་	དང་	NO_POS
དྲི་	དྲི་	VERB
བསང་གཏོར་	བསང་གཏོར་	OTHER
བ་	བ་	NOUN
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
།		PUNCT
མཆོད་པ་	མཆོད་པ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ས་	གིས་	PART
བསང་	བསང་	OTHER
ཞིང་	ཞིང་	SCONJ
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབས་	བརླབས་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
དང་	དང་	NO_POS
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
བུད་ཤིང་	བུད་ཤིང་	NOUN
གིས་	གིས་	PART
བརྩིགས་	བརྩིགས་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
དང་	དང་	NO_POS
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
མེ་	མེ་	NOUN
བླངས་	བླངས་	VERB
ལ་	ལ་	ADP
བསང་	བསང་	OTHER
ཞིང་	ཞིང་	SCONJ
བཅུག་	བཅུག་	VERB
ལ་	ལ་	ADP
རླུང་ཡབ་	རླུང་ཡབ་	NO_POS
ཀྱིས་	གིས་	PART
སྦ་	སྦ་	PROPN
ར་	ལ་	PART
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
མ་	མ་	NOUN
གྱི་	གི་	PART
དགང་བླུགས་	དགང་བླུགས་	NOUN
གསུམ་	གསུམ་	NUM
གྱིས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
སྦ་	སྦ་	PROPN
ར་	ལ་	PART
ལ་	ལ་	ADP
ལྟ་	ལྟ་	NOUN
བརྟགས་	བརྟགས་	VERB
ན་	ནས་	PART
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨི་	ཨི་	NO_POS
དཾ་		NON_WORD
ཀུ་ཤ་	ཀུ་ཤ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ཀྱིས་	གིས་	PART
ཀུ་ཤ་	ཀུ་ཤ་	NOUN
དགྲམ་	དགྲམ་	NO_POS
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
ཨོཾ་	ཨོཾ་	X
ཏྲཱྃ་		NON_WORD
ཨཱྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཞི་	ཞི་	VERB
རྒྱ་	རྒྱ་	VERB
དབང་	དབང་	NOUN
དྲག་	དྲག་	VERB
ཡང་ན་	ཡང་ན་	NO_POS
ཧཱུྃ་		NON_WORD
ཁ་དོག་	ཁ་དོག་	NOUN
བཞི་	བཞི་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
ཐབ་	ཐབ་	NO_POS
བསྐྱེད་	བསྐྱེད་	VERB
།		PUNCT
རྃ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
མེ་	མེ་	NOUN
བསྐྱེད་	བསྐྱེད་	VERB
།		PUNCT
མེ་	མེ་	NOUN
གསེབ་	གསེབ་	NOUN
ཏུ་	ལ་	PART
ཨ་ལ་		
དབྱུག་	དབྱུག་	NO_POS
ཏོ་	གོ་	PART
།		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
ཨ་	ཨ་	X
ས་	གིས་	PART
མཚན་པ་	མཚན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
