form	lemma	POS	morph
གོང་བ་	གོང་བ་	NO_POS
འི་	གི་	PART
ཚད་	ཚད་	NOUN
བྱ་	བྱ་	VERB
།		PUNCT
མཚམས་	མཚམས་	NOUN
ཁོང་	ཁོང་	PRON
དུ་	ལ་	PART
བུད་མེད་	བུད་མེད་	NOUN
མི་	མི་	PART
གཏང་	གཏང་	NO_POS
།		PUNCT
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཡིག་ཆུང་	ཡིག་ཆུང་	OTHER
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
༑༑ ༑༑ ༈		PUNCT
		
ོ་		NON_WORD
གུ་	གུ་	OTHER
		
ེ་		NON_WORD
།		PUNCT
		
ི་		NON_WORD
		
ི་		NON_WORD
།		PUNCT
		
ི་		NON_WORD
		
ི་		NON_WORD
		
ོ་		NON_WORD
		
ེ་		NON_WORD
།		PUNCT
		
ི་		NON_WORD
		
ོ་		NON_WORD
		
ི་		NON_WORD
		
དུ་	ལ་	PART
		
དུ་	ལ་	PART
སྤྱ་		NON_WORD
		
།		PUNCT
		
ི་		NON_WORD
		
སྐུ་	སྐུ་	NOUN
		
ོ་		NON_WORD
		
ོ་		NON_WORD
		
ེ་		NON_WORD
		
ི་		NON_WORD
		
ི་		NON_WORD
		
དུ་	ལ་	PART
ཚུ་	ཚུ་	OTHER
		
པཱུ་		NON_WORD
		
ཕུ་	ཕུ་	NOUN
		
༑		PUNCT
		
ོ་		NON_WORD
		
ི་		NON_WORD
།		PUNCT
		
ོ་		NON_WORD
		
སྐྱ་	སྐྱ་	VERB
		
ཏུ་	ལ་	PART
		
ོ་		NON_WORD
		
།		PUNCT
		
ོ་		NON_WORD
		
རྐུ་	རྐུ་	NO_POS
		
སྐྱ་	སྐྱ་	VERB
		
ཏུ་	ལ་	PART
		
ོ་		NON_WORD
		
།		PUNCT
		
ི་		NON_WORD
		
ི་		NON_WORD
		
སྐྱ་	སྐྱ་	VERB
		
