form	lemma	POS	morph
རང་བཞིན་	རང་བཞིན་	NOUN
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
རྒྱན་	རྒྱན་	NOUN
གྱི་	གི་	PART
ཕུལ་	ཕུལ་	VERB
། །		PUNCT
བླ་	བླ་	NOUN
ན་	ན་	ADP
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
ལེགས་	ལེགས་	VERB
བརྒྱན་	བརྒྱན་	VERB
སླད་	སླད་	NOUN
། །		PUNCT
གཞན་	གཞན་	DET
གྱི་	གི་	PART
བཅོས་མ་	བཅོས་མ་	NOUN
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
། །		PUNCT
བརྒྱན་པ་	བརྒྱན་པ་	VERB
ར་	ལ་	PART
བགྱི་	བགྱི་	VERB
ཡང་	ཀྱང་	PART
ཅི་ཞིག་	ཅི་ཞིག་	NO_POS
འཚལ་	འཚལ་	VERB
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
མོད་	མོད་	VERB
ཀྱི་	གི་	PART
འཕགས་མཆོག་	འཕགས་མཆོག་	OTHER
དང་	དང་	NO_POS
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
མཆོག་	མཆོག་	ADJ
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
ཉིན་	ཉིན་	NOUN
དང་	དང་	NO_POS
ཉིན་	ཉིན་	NOUN
། །		PUNCT
བསྟོད་པ་	བསྟོད་པ་	VERB
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
གྱིས་	གིས་	PART
རྣམ་ཀུན་	རྣམ་ཀུན་	NO_POS
ཏུ་	ལ་	PART
། །		PUNCT
བརྒྱན་པ་	བརྒྱན་པ་	VERB
ར་	ལ་	PART
བགྱིད་པ་	བགྱིད་པ་	VERB
མ་	མ་	PART
ལགས་	ལགས་	AUX
སམ་	གམ་	PART
། །		PUNCT
དེ་	དེ་	DET
སླད་	སླད་	NOUN
བདག་	བདག་	PRON
ཀྱང་	ཀྱང་	PART
མཆོད་པ་	མཆོད་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
