form	lemma	POS	morph
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
ནག་པོ་པ་	ནག་པོ་པ་	ADJ
འི་	གི་	PART
ལུགས་	ལུགས་	NOUN
ཀྱི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
"། །

༄༅། །"		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭ་		NON_WORD
སྟི་	སྟི་	NO_POS
སིངྔྷཾ་		NON_WORD
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	ADP
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	ལོ་	NOUN
།།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
བརྟུལ་ཞུགས་	བརྟུལ་ཞུགས་	NOUN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
བ་	བ་	ADP
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
དང་	དང་	NO_POS
བཤད་པ་	བཤད་པ་	VERB
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
གཉིས་	གཉིས་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
བཤད་པ་	བཤད་པ་	VERB
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	ADP
བརྟེན་	བརྟེན་	VERB
།		PUNCT
བཤད་རྒྱུད་	བཤད་རྒྱུད་	NOUN
ལྔ་	ལྔ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
ར་	ལ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
མངོན་	མངོན་	VERB
འབྱུང་	འབྱུང་	VERB
གི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	ADP
བརྟེན་	བརྟེན་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ལེའུ་	ལེའུ་	NOUN
བཅུ་བཞི་པ་	བཅུ་བཞི་པ་	NO_POS
ན་	ནས་	PART
ས་	ས་	ADP
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
བསྟན་	བསྟན་	VERB
།		PUNCT
བཅོ་ལྔ་པ་	བཅོ་ལྔ་པ་	NO_POS
ན་	ནས་	PART
ཚོགས་	ཚོགས་	NOUN
དང་	དང་	NO_POS
དབང་	དབང་	NOUN
བསྟན་	བསྟན་	VERB
།		PUNCT
བཅུ་དྲུག་པ་	བཅུ་དྲུག་པ་	NO_POS
ན་	ནས་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
དང་	དང་	NO_POS
སྡོམ་པ་	སྡོམ་པ་	NOUN
བསྟན་	བསྟན་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་དག་	དེ་དག་	OTHER
ལ་	ལ་	ADP
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
མཛད་	མཛད་	VERB
དོ་	གོ་	PART
། །		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ཀརྞ་པ་	ཀརྞ་པ་	NON_WORD
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
ཡུལ་	ཡུལ་	NOUN
ལྷོ་ཕྱོགས་	ལྷོ་ཕྱོགས་	NOUN
ཀརྞ་		NON_WORD
ཌའི་		NON_WORD
རྒྱལ་ཁམས་	རྒྱལ་ཁམས་	NOUN
སུ་	སུ་	ADP
སྐྱེས་པ་	སྐྱེས་པ་	VERB
ས་	གིས་	PART
ཀརྞ་པ་	ཀརྞ་པ་	NON_WORD
ཞེ་	ཅེས་	PART
ཟེ་	ཟེ་	VERB
།		PUNCT
ཡང་	ཀྱང་	PART
ཀརྞ་		NON_WORD
ཞེས་་	ཞེས་པ་	PART
རྣ་བ་	རྣ་བ་	NOUN
ལ་	ལ་	ADP
ཟེ་	ཟེ་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
སྙན་	སྙན་	NOUN
རིང་བ་	རིང་བ་	VERB
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
ཀརྞ་པ་	ཀརྞ་པ་	NON_WORD
ཞེ་	ཅེས་	PART
ཟེ་	ཟེ་	VERB
།		PUNCT
སྐུ་མདོག་	སྐུ་མདོག་	NOUN
ནག་པ་	ནག་པ་	VERB
ས་	གིས་	PART
ཀྲྀཥྞ་པ་	ཀྲྀཥྞ་པ་	NON_WORD
ཞེ་	ཅེས་	PART
གྲག་	གྲག་	VERB
སོ་	སོ་	PART
། །		PUNCT
འདི་	འདི་	DET
འི་	གི་	PART
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ཤྲཱི་		NON_WORD
ཛཱ་	ཛཱ་	NO_POS
ལནྡྷ་		NON_WORD
ར་པ་	ར་པ་	ADP
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ཡུལ་	ཡུལ་	NOUN
ཛཱ་	ཛཱ་	NO_POS
ལནྡྷ་		NON_WORD
ར་	ར་	ADP
ར་	ལ་	PART
ཙཀྲ་	ཙཀྲ་	NO_POS
སཾ་		NON_WORD
བ་ར་	བ་ར་	NOUN
འི་	གི་	PART
གྲུབ་པ་	གྲུབ་པ་	VERB
བརྙེས་པ་	བརྙེས་པ་	VERB
དེ་	དེ་	DET
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
གདམས་ངག་	གདམས་ངག་	NOUN
ལ་	ལ་	ADP
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
མཛད་	མཛད་	VERB
ན་	ནས་	PART
།		PUNCT
ནུས་པ་	ནུས་པ་	VERB
ཅུང་ཟད་	ཅུང་ཟད་	ADV
བརྙེས་	བརྙེས་	NO_POS
ན་	ནས་	PART
།		PUNCT
འཁོར་	འཁོར་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
ཕོ་མོ་	ཕོ་མོ་	NOUN
མང་པོ་	མང་པོ་	ADJ
ས་	གིས་	PART
བསྐོར་	བསྐོར་	VERB
ན་	ནས་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
ལ་	ལ་	ADP
།		PUNCT
སྤྱོད་པ་	སྤྱོད་པ་	VERB
བྱ་	བྱ་	VERB
སྙམ་	སྙམ་	VERB
ན་	ནས་	PART
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ལ་	ལ་	ADP
ཞུས་པ་	ཞུས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ན་རེ་	ན་རེ་	ADP
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ལ་	ལ་	ADP
ནུས་པ་	ནུས་པ་	VERB
ཐོབ་	ཐོབ་	VERB
དགོས་	དགོས་	VERB
ན་	ན་	ADP
༑		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ལ་	ལ་	ADP
ནུས་པ་	ནུས་པ་	VERB
ཡོད་	ཡོད་	VERB
དམ་	དམ་	PART
གསུང་བ་	གསུང་བ་	VERB
ལ་	ལ་	ADP
།		PUNCT
ང་	ང་	PRON
ལ་	ལ་	ADP
ནུས་པ་	ནུས་པ་	VERB
ཡོད་	ཡོད་	VERB
གསུང་	གསུང་	VERB
།		PUNCT
འོ་ན་	འོ་ན་	NO_POS
སྟོན་	སྟོན་	VERB
དང་	དང་	NO_POS
གསུངས་པ་	གསུངས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ར་	ལ་	PART
ཀྲྀཥྞ་པ་	ཀྲྀཥྞ་པ་	NON_WORD
ས་	གིས་	PART
རི་དྭགས་	རི་དྭགས་	NOUN
ཀྲྀཥྞ་		NON_WORD
སཱ་	སཱ་	NO_POS
རི་	རི་	NOUN
ལ་	ལ་	ADP
དགུག་པ་	དགུག་པ་	VERB
འི་	གི་	PART
ལྟ་སྟངས་	ལྟ་སྟངས་	NOUN
མཛད་པ་	མཛད་པ་	VERB
ས་	གིས་	PART
མདུན་	མདུན་	NOUN
དུ་	ལ་	PART
ཁུགས་	ཁུགས་	NO_POS
།		PUNCT
སྟག་	སྟག་	NOUN
ལ་	ལ་	ADP
རེངས་པ་	རེངས་པ་	VERB
འི་	གི་	PART
ལྟ་སྟངས་	ལྟ་སྟངས་	NOUN
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
རེངས་	རེངས་	VERB
།		PUNCT
མ་ཧེ་	མ་ཧེ་	NO_POS
ལ་	ལ་	ADP
དབང་	དབང་	NOUN
གི་	གི་	PART
ལྟ་སྟངས་	ལྟ་སྟངས་	NOUN
མཛད་པ་	མཛད་པ་	VERB
ས་	གིས་	PART
མདུན་	མདུན་	NOUN
དུ་	ལ་	PART
འོངས་	འོངས་	VERB
ན་	ནས་	PART
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
ས་	གིས་	PART
བཏུད་	བཏུད་	NO_POS
།		PUNCT
ཤིང་	ཅིང་	PART
ལྗོན་པ་	ལྗོན་པ་	OTHER
འི་	གི་	PART
ཡལ་ག་	ཡལ་ག་	NOUN
ལ་	ལ་	ADP
མེ་ཏོག་	མེ་ཏོག་	NOUN
ཡོད་པ་	ཡོད་པ་	VERB
ལ་	ལ་	ADP
ལྟུང་བ་	ལྟུང་བ་	VERB
འི་	གི་	PART
ལྟ་སྟངས་	ལྟ་སྟངས་	NOUN
མཛད་པ་	མཛད་པ་	VERB
ས་	གིས་	PART
ལྷུང་	ལྷུང་	VERB
ནུས་པ་	ནུས་པ་	VERB
ལ་	ལ་	ADP
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞལ་	ཞལ་	NOUN
ན་	ནས་	PART
༑		PUNCT
དེ་	དེ་	DET
ནི་	ནི་	NO_POS
ཚ་	ཚ་	VERB
གཅད་པ་	གཅད་པ་	NO_POS
བྱ་བ་	བྱ་བ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
འི་	གི་	PART
