form	lemma	POS	morph
ཁོར་ཡུག་	ཁོར་ཡུག་	NOUN
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
།		PUNCT
རིགས་	རིགས་	NOUN
བདག་	བདག་	PRON
སྣང་	སྣང་	VERB
མཐ་	མཐའ་	NOUN
འི་	གི་	PART
ཕྱག་མཚན་	ཕྱག་མཚན་	NOUN
མེ་ཏོག་	མེ་ཏོག་	NOUN
པདྨ་	པདྨ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ཡལ་འདབ་	ཡལ་འདབ་	NOUN
དང་	དང་	NO_POS
ཟེའུ་འབྲུ་	ཟེའུ་འབྲུ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ས་	གིས་	PART
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
རྒྱས་པ་	རྒྱས་པ་	VERB
འི་	གི་	PART
རི་མོ་	རི་མོ་	NOUN
ས་	གིས་	PART
མཛེས་པ་	མཛེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཤིང་	ཅིང་	PART
༑		PUNCT
ཐབ་	ཐབ་	NO_POS
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
ཏུ་	ལ་	PART
སོ་	སོ་	PART
ར་	ལ་	PART
གཉིས་	གཉིས་	NUM
དོར་བ་	དོར་བ་	VERB
ར་	ལ་	PART
སྟེགས་བུ་	སྟེགས་བུ་	NO_POS
གྲུ་བཞི་པ་	གྲུ་བཞི་པ་	ADJ
འི་	གི་	PART
གྲྭའི་		NON_WORD
ཟུར་	ཟུར་	NOUN
བཞི་	བཞི་	NUM
ར་	ལ་	PART
ཟླ་བ་	ཟླ་བ་	NOUN
ཕྱེད་པ་	ཕྱེད་པ་	VERB
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
དུ་	ལ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྩེ་	རྩེ་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
རེ་	རེ་	NOUN
མཚན་པ་	མཚན་པ་	VERB
།		PUNCT
སྟེགས་བུ་	སྟེགས་བུ་	NO_POS
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
གྱི་	གི་	PART
མཎྜལ་		NON_WORD
གྱི་	གི་	PART
ལོགས་	ལོགས་	NOUN
ཟུར་	ཟུར་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
ཐ་མ་	ཐ་མ་	ADJ
ར་	ལ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
ས་	གིས་	PART
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
མཛེས་པ་	མཛེས་པ་	VERB
ར་	ལ་	PART
བསྐོར་	བསྐོར་	VERB
ཞིང་	ཞིང་	SCONJ
།		PUNCT
སྟེགས་བུ་	སྟེགས་བུ་	NO_POS
དང་	དང་	NO_POS
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
འི་	གི་	PART
མེ་རི་	མེ་རི་	NOUN
དེ་དག་	དེ་དག་	OTHER
གི་	གི་	PART
བ་	བ་	NOUN
གྱི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
བཞི་	བཞི་	NUM
ར་	ལ་	PART
རྣམ་སྣང་	རྣམ་སྣང་	PROPN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
བདེ་བ་	བདེ་བ་	VERB
ར་	ལ་	PART
གཤེགས་པ་	གཤེགས་པ་	VERB
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཕྱག་མཚན་	ཕྱག་མཚན་	NOUN
།		PUNCT
ཤ་	ཤ་	VERB
ན་	ནས་	PART
གཡས་སྐོར་	གཡས་སྐོར་	NO_POS
དུ་	ལ་	PART
རྣམ་སྣང་	རྣམ་སྣང་	PROPN
གི་	གི་	PART
ཕྱག་མཚན་	ཕྱག་མཚན་	NOUN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྩིབས་	རྩིབས་	NOUN
དྲུག་པ་	དྲུག་པ་	NUM
དང་	དང་	NO_POS
།		PUNCT
རིན་འབྱུང་	རིན་འབྱུང་	OTHER
གི་	གི་	PART
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ཟུར་	ཟུར་	NOUN
གསུམ་	གསུམ་	NUM
འབར་བ་	འབར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
