form	lemma	POS	morph
སྨོན་པ་	སྨོན་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ར་	ལ་	PART
དེ་	དེ་	DET
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
མི་འགལ་བ་	མི་འགལ་བ་	NO_POS
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
བཤད་པ་	བཤད་པ་	VERB
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
དོན་	དོན་	NOUN
ཏོ་	གོ་	PART
༑ ༑		PUNCT
ཞེ་	ཅེས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
ལྟ་བུ་	ལྟ་བུ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
		
ཞ་	ཞ་	OTHER
		
གཉིས་པ་	གཉིས་པ་	NUM
		
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
སྤྱི་དོན་	སྤྱི་དོན་	NOUN
དུ་	ལ་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
གྱིས་	གིས་	PART
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཧཱུྃ་		NON_WORD
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
ཁ་དོག་	ཁ་དོག་	NOUN
ནག་པོ་	ནག་པོ་	ADJ
འཇིགས་	འཇིགས་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
། །		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ལྟེ་བ་	ལྟེ་བ་	NOUN
འི་	གི་	PART
དབུ་	དབུ་	NOUN
གནས་པ་	གནས་པ་	VERB
ར་	ལ་	PART
། །		PUNCT
ཡང་	ཀྱང་	PART
ནི་	ནི་	NO_POS
ཧཱུྃ་		NON_WORD
གི་	གི་	PART
དེ་ཉིད་	དེ་ཉིད་	NOUN
བསྒོམ་	བསྒོམ་	VERB
༑ ༑		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
གཞུང་	གཞུང་	NOUN
བཞིན་	བཞིན་	NOUN
བཤད་པ་	བཤད་པ་	VERB
ས་	གིས་	PART
གོ་བ་	གོ་བ་	VERB
རྣམས་	རྣམས་	DET
སོ་	སོ་	PART
། །		PUNCT
ཡི་གེ་	ཡི་གེ་	NOUN
འི་	གི་	PART
དོན་	དོན་	NOUN
གྱིས་	གིས་	PART
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ན་	ན་	ADP
དང་ག་	དང་ག་	NO_POS
ཧ་	ཧ་	NOUN
དང་པོ་	དང་པོ་	ADJ
དང་	དང་	NO_POS
། །		PUNCT
མཐའ་	མཐའ་	NOUN
ཡི་	ཡི་	ADP
ཤྭ་	ཤྭ་	NO_POS
དང་	དང་	NO_POS
དང་པོ་	དང་པོ་	ADJ
འི་	གི་	PART
ཤྭ་	ཤྭ་	NO_POS
།		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
ན་	ན་	ADP
ར་	ར་	ADP
ནི་	ནི་	NO_POS
མི་ཤ་	མི་ཤ་	NOUN
		
ཞ་	ཞ་	OTHER
		
བི་	བི་	NO_POS
ཤ་	ཤ་	NOUN
		
ག་	ག་	PRON
བི་	བི་	NO_POS
ནི་	ནི་	NO_POS
བ་ལང་	བ་ལང་	NOUN
		
ཞ་	ཞ་	OTHER
		
ཤ་	ཤ་	NOUN
		
།		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལྟ་བུ་	ལྟ་བུ་	NOUN
སྒྲ་	སྒྲ་	NOUN
ས་	གིས་	PART
དྲངས་	དྲངས་	NO_POS
ཏེ་	སྟེ་	PART
བཤད་པ་	བཤད་པ་	VERB
ས་	གིས་	PART
བཟའ་བ་	བཟའ་བ་	VERB
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
དུ་	ལ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
རྣམས་	རྣམས་	DET
ལྟ་བུ་	ལྟ་བུ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
མན་ངག་	མན་ངག་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
གྱིས་	གིས་	PART
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གཽ་	གཽ་	NO_POS
རཱི་		NON_WORD
རི་དྭགས་	རི་དྭགས་	NOUN
མཚན་མ་	མཚན་མ་	NOUN
འཛིན་	འཛིན་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་	ལ་	ADP
།		PUNCT
གཽ་	གཽ་	NO_POS
རཱི་		NON_WORD
ནི་	ནི་	NO_POS
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ཆུང་མ་	ཆུང་མ་	NOUN
སྟེ་	སྟེ་	PART
དེ་	དེ་	DET
འི་	གི་	PART
བརྡ་	བརྡ་	NOUN
ས་	གིས་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
སྣང་	སྣང་	VERB
མཛད་	མཛད་	VERB
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
མ་	མ་	PART
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
རི་དྭགས་	རི་དྭགས་	NOUN
མཚན་མ་	མཚན་མ་	NOUN
ནི་	ནི་	NO_POS
ཟླ་བ་	ཟླ་བ་	NOUN
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
བརྡ་	བརྡ་	NOUN
ས་	གིས་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལྟ་བུ་	ལྟ་བུ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
རང་	རང་	PRON
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབ་པ་	བརླབ་པ་	VERB
སྦས་པ་	སྦས་པ་	VERB
ཡན་ལག་	ཡན་ལག་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
གྱིས་	གིས་	PART
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ལྟེ་བ་	ལྟེ་བ་	NOUN
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྩ་	རྩ་	NUM
འདབ་	འདབ་	OTHER
དྲུག་ཅུ་	དྲུག་ཅུ་	NUM
རྩ་	རྩ་	NUM
བཞི་	བཞི་	NUM
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལྟ་བུ་	ལྟ་བུ་	NOUN
འོ་	གོ་	PART
། །		PUNCT
ཡི་གེ་	ཡི་གེ་	NOUN
འི་	གི་	PART
དོན་	དོན་	NOUN
གྱིས་	གིས་	PART
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཨེ་	ཨེ་	PART
བཾ་		NON_WORD
མ་	མ་	PART
ཡ་	ཡ་	NOUN
བཞི་	བཞི་	NUM
ས་	གིས་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
བཞི་	བཞི་	NUM
བསྟན་	བསྟན་	VERB
ཏེ་	སྟེ་	PART
དབྱིབས་	དབྱིབས་	NOUN
མཐུན་པ་	མཐུན་པ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
སོ་	སོ་	PART
། །		PUNCT
མན་ངག་	མན་ངག་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
གྱིས་	གིས་	PART
བཤད་པ་	བཤད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཆོ་	ཆོ་	NOUN
དང་	དང་	NO_POS
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
དང་	དང་	NO_POS
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
ནི་	ནི་	NO_POS
སྐུ་	སྐུ་	NOUN
དང་	དང་	NO_POS
གསུང་	གསུང་	VERB
དང་	དང་	NO_POS
ཐུགས་	ཐུགས་	NOUN
སོ་	སོ་	PART
