form	lemma	POS	morph
བཟའ་བཏུང་	བཟའ་བཏུང་	NOUN
ནི་	ནི་	NO_POS
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
རྣལ་འབྱོར་པ་	རྣལ་འབྱོར་པ་	NOUN
ཡི་	གིས་	PART
བཟའ་	བཟའ་	NOUN
། །		PUNCT
ཞིང་	ཞིང་	SCONJ
བཏུང་	བཏུང་	NO_POS
།		PUNCT
རོ་	རོ་	NOUN
ཡི་	ཡི་	ADP
གོ་	གོ་	NOUN
༑		PUNCT
དཀྲིས་		NON_WORD
མ་	མ་	PART
འི་	གི་	PART
གོ་	གོ་	NOUN
བཟང་	བཟང་	VERB
དང་	དང་	NO_POS
། །		PUNCT
རྒྱན་	རྒྱན་	NOUN
རོ་	རོ་	NOUN
བསྲེགས་	བསྲེགས་	NO_POS
ཐལ་བ་	ཐལ་བ་	NOUN
ས་	གིས་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
བརྒྱན་	བརྒྱན་	VERB
། །		PUNCT
དུར་ཁྲོད་	དུར་ཁྲོད་	NOUN
ཕྲུ་	ཕྲུ་	NOUN
ཆག་	ཆག་	VERB
ཐོགས་	ཐོགས་	VERB
ན་	ནས་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
ཟེ་	ཟེ་	VERB
ཕྲུ་	ཕྲུ་	NOUN
ཆག་	ཆག་	VERB
		
ཐོད་པ་	ཐོད་པ་	NOUN
།		PUNCT
		
སྣོད་	སྣོད་	NOUN
དུ་	ལ་	PART
བཟའ་	བཟའ་	NOUN
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
དམན་པ་	དམན་པ་	VERB
འི་	གི་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ལ་	ལ་	ADP
།		PUNCT
གསང་བ་	གསང་བ་	VERB
ར་	ལ་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
ཉིན་	ཉིན་	NOUN
མོ་རང་	མོ་རང་	NO_POS
གི་	གི་	PART
རིགས་	རིགས་	NOUN
དང་	དང་	NO_POS
མཐུན་པ་	མཐུན་པ་	VERB
མཚན་སྤྱོད་པ་	མཚན་སྤྱོད་པ་	NO_POS
འི་	གི་	PART
དུས་	དུས་	NOUN
།		PUNCT
མོ་	མོ་	PRON
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
མཚན་	མཚན་	NOUN
དུས་	དུས་	NOUN
གསང་	གསང་	VERB
སྟེ་	སྟེ་	PART
རྒྱུ་བ་	རྒྱུ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཟེ་	ཟེ་	VERB
། །		PUNCT
རྒྱ་དཔེ་	རྒྱ་དཔེ་	NOUN
ལ་	ལ་	ADP
།		PUNCT
རྒྱུ་བ་	རྒྱུ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
གནས་	གནས་	NOUN
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་པ་	བསྟན་པ་	VERB
།		PUNCT
བཞི་མདོ་	བཞི་མདོ་	NOUN
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
རི་བོ་	རི་བོ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
ཤིང་	ཅིང་	PART
གཅིག་	གཅིག་	NUM
གམ་	གམ་	PART
ནི་	ནི་	NO_POS
དུར་ཁྲོད་	དུར་ཁྲོད་	NOUN
དུ་	ལ་	PART
། །		PUNCT
ནི་	ནི་	NO_POS
།		PUNCT
གནས་	གནས་	NOUN
བཞི་	བཞི་	NUM
ར་	ལ་	PART
ནི་	ནི་	NO_POS
དེ་ནས་	དེ་ནས་	NO_POS
སྤྱོད་པ་	སྤྱོད་པ་	VERB
བྱེད་པ་	བྱེད་པ་	VERB
དེ་	དེ་	DET
འི་	གི་	PART
དབང་	དབང་	NOUN
གིས་	གིས་	PART
།		PUNCT
སྔགས་པ་	སྔགས་པ་	NOUN
ཡི་	གིས་	PART
། །		PUNCT
བསྒོམ་པ་	བསྒོམ་པ་	VERB
དེ་	དེ་	DET
ཁོ་ན་ཉིད་	ཁོ་ན་ཉིད་	NO_POS
བཟང་པོ་	བཟང་པོ་	ADJ
བྱ་བ་	བྱ་བ་	VERB
ར་	ལ་	PART
བརྗོད་	བརྗོད་	VERB
། །		PUNCT
མ་མོ་	མ་མོ་	NOUN
འི་	གི་	PART
ཁྱིམ་	ཁྱིམ་	NOUN
དང་	དང་	NO_POS
དུས་	དུས་	NOUN
།		PUNCT
མཚན་མོ་	མཚན་མོ་	ADV
རྒྱུ་བ་	རྒྱུ་བ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
།		PUNCT
དང་	དང་	NO_POS
། །		PUNCT
ཡང་ན་	ཡང་ན་	NO_POS
དབེན་པ་	དབེན་པ་	VERB
འམ་	གམ་	PART
བས་མཐ་	བས་མཐའ་	NO_POS
ར་	ལ་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
གང་ཟག་	གང་ཟག་	NOUN
ཅུང་ཟད་	ཅུང་ཟད་	ADV
དྲོད་	དྲོད་	NOUN
ནི་	ནི་	NO_POS
ཐོབ་པ་	ཐོབ་པ་	VERB
ཡི་	གིས་	PART
། །		PUNCT
གལ་ཏེ་	གལ་ཏེ་	NO_POS
སྤྱོད་པ་	སྤྱོད་པ་	VERB
བྱེད་པ་	བྱེད་པ་	VERB
ར་	ལ་	PART
།		PUNCT
འདོད་	འདོད་	VERB
ན་	ན་	ADP
༑ ༑		PUNCT
དེ་	དེ་	DET
རྟེན་	རྟེན་	NOUN
གྱི་	གི་	PART
གང་ཟག་	གང་ཟག་	NOUN
བདག་ཉིད་	བདག་ཉིད་	NOUN
གལ་ཏེ་	གལ་ཏེ་	NO_POS
འགྲུབ་	འགྲུབ་	VERB
འདོད་པ་	འདོད་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
སྣང་	སྣང་	VERB
ལ་	ལ་	ADP
ཞེན་	ཞེན་	VERB
མེ་	མེ་	NOUN
དུ་	ལ་	PART
དྭོགས་པ་	དྭོགས་པ་	NON_WORD
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
བྱིས་པ་	བྱིས་པ་	NOUN
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
ཡང་	ཀྱང་	PART
ནི་	ནི་	NO_POS
སྤྱད་	སྤྱད་	VERB
། །		PUNCT
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
།		PUNCT
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
།		PUNCT
སེམས་	སེམས་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བཤད་	བཤད་	VERB
		
དགོས་པ་	དགོས་པ་	VERB
།		PUNCT
ཅན་	ཅན་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
བཟུང་བ་	བཟུང་བ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
ར་	ལ་	PART
། །		PUNCT
བློ་ལྡན་	བློ་ལྡན་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
ཡུལ་	ཡུལ་	NOUN
།		PUNCT
རྒྱུ་བ་	རྒྱུ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
རྒྱས་བཤད་	རྒྱས་བཤད་	NOUN
ལ་	ལ་	ADP
གཉིས་	གཉིས་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སྒྲུབ་པ་པོ་	སྒྲུབ་པ་པོ་	VERB
དྲོད་	དྲོད་	NOUN
ཀྱི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
ཙཎྜཱ་		NON_WORD
ལཱི་		NON_WORD
བསྒོམ་པ་	བསྒོམ་པ་	VERB
སྟེ་	སྟེ་	PART
ཙཎྜཱ་		NON_WORD
ལཱི་		NON_WORD
བཅུ་གཅིག་པ་	བཅུ་གཅིག་པ་	NO_POS
ཡང་	ཀྱང་	PART
བསྟན་	བསྟན་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
སྤྲུལ་	སྤྲུལ་	VERB
འཁོར་	འཁོར་	NOUN
གྱི་	གི་	PART
ལམ་	གམ་	PART
ལ་	ལ་	ADP
གཏུམ་པོ་	གཏུམ་པོ་	ADJ
སྤྲོས་	སྤྲོས་	VERB
ཏེ་	སྟེ་	PART
ཙཀྲ་	ཙཀྲ་	NO_POS
གོང་མ་	གོང་མ་	ADJ
འི་	གི་	PART
ཡིག་འབྲུ་	ཡིག་འབྲུ་	NOUN
རྣམས་	རྣམས་	DET
བསྲེགས་པ་	བསྲེགས་པ་	VERB
འམ་	གམ་	PART
ཡང་ན་	ཡང་ན་	NO_POS
ཡ་		
འབབ་	འབབ་	NO_POS
ཀྱི་	གི་	PART
བྱང་སེམས་	བྱང་སེམས་	NOUN
དང་	དང་	NO_POS
མ་	མ་	OTHER
སྦ་	སྦ་	PROPN
ར་	ལ་	PART
གྱི་	གི་	PART
དུས་	དུས་	NOUN
རྟོགས་པ་	རྟོགས་པ་	VERB
ཞེན་	ཞེན་	VERB
མེད་	མེད་	VERB
དོ་	གོ་	PART
། །		PUNCT
ཞེན་འཛིན་པ་	ཞེན་འཛིན་པ་	NO_POS
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
སེམས་	སེམས་	NOUN
ཀྱིས་	གིས་	PART
ནི་	ནི་	NO_POS
། །		PUNCT
ཟེ་	ཟེ་	VERB
༑		PUNCT
པ་	པ་	OTHER
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
སེམས་	སེམས་	NOUN
ཡ་		
ཕབ་	ཕབ་	VERB
ལ་	ལ་	ADP
རྟོག་པ་	རྟོག་པ་	VERB
མེད་	མེད་	VERB
།		PUNCT
བ་སྤུ་	བ་སྤུ་	NOUN
འི་	གི་	PART
ཁ་ཞེ་	ཁ་ཞེ་	NOUN
ས་	གིས་	PART
བྱ་བ་	བྱ་བ་	VERB
གསུང་	གསུང་	VERB
།		PUNCT
ཀྱིས་	གིས་	PART
ནི་	ནི་	NO_POS
།		PUNCT
ཁ་	ཁ་	PRON
ཝརྞ་		NON_WORD
༑		PUNCT
དོག་	དོག་	NO_POS
ཡི་གེ་	ཡི་གེ་	NOUN
སྟེ་	སྟེ་	PART
ཡུལ་	ཡུལ་	NOUN
ལ་དུ་	ལ་དུ་	NOUN
ས་	གིས་	PART
བི་	བི་	NO_POS
ཀ་	ཀ་	DET
འོ་	གོ་	PART
། །		PUNCT
བསྐྱུར་བ་	བསྐྱུར་བ་	VERB
འི་	གི་	PART
ར་	ར་	NOUN
རྙིང་	རྙིང་	NO_POS
བགོ་	བགོ་	NO_POS
ཟེ་	ཟེ་	VERB
ཅན་	ཅན་	PART
གྱི་	གི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
ལ་	ལ་	ADP
།		PUNCT
རྟག་	རྟག་	VERB
སྒྲིབ་	སྒྲིབ་	NOUN
ཙཎྜཱ་		NON_WORD
ལཱི་		NON_WORD
བཅུ་གཅིག་པ་	བཅུ་གཅིག་པ་	NO_POS
བཞི་	བཞི་	NUM
ལ་	ལ་	ADP
བརྟེན་པ་	བརྟེན་པ་	VERB
།		PUNCT
བྱ་	བྱ་	VERB
། །		PUNCT
		
དེ་	དེ་	DET
ས་	གིས་	PART
མངོན་དུ་	མངོན་དུ་	NO_POS
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དེ་	དེ་	DET
ས་	གིས་	PART
རྟོག་པ་	རྟོག་པ་	VERB
		
བགོ་བ་	བགོ་བ་	NOUN
ར་	ལ་	PART
		
ནིར་		NON_WORD
མ་	མ་	PART
		
རླུང་	རླུང་	NOUN
བསྐུམ་	བསྐུམ་	NO_POS
ན་	ནས་	PART
སུམ་མདོ་	སུམ་མདོ་	NO_POS
འི་	གི་	PART
