form	lemma	POS	morph
དཀར་ཆག་	དཀར་ཆག་	NOUN
ཤེས་བྱ་	ཤེས་བྱ་	VERB
རབ་ཏུ་	རབ་ཏུ་	NO_POS
གསལ་བ་	གསལ་བ་	VERB
།		PUNCT
		
ལམ་	གམ་	PART
འབྲས་	འབྲས་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
ཕྱག་མཆོད་	ཕྱག་མཆོད་	NOUN
མི་	མི་	PART
འཕྲོགས་	འཕྲོགས་	VERB
མ་	མ་	PART
།		PUNCT
		
རྒྱུད་	རྒྱུད་	NOUN
འགྲེལ་	འགྲེལ་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
།		PUNCT
		
བ་	བ་	X
རི་བ་	རི་བ་	VERB
འི་	གི་	PART
ཆོས་སྐོར་	ཆོས་སྐོར་	NOUN
གྱི་	གི་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
འདེབས་	འདེབས་	VERB
།		PUNCT
		
འཇིགས་བྱེད་	འཇིགས་བྱེད་	OTHER
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
།		PUNCT
		
བླ་མ་	བླ་མ་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
མཚན་	མཚན་	NOUN
འབུམ་	འབུམ་	NUM
སྔགས་	སྔགས་	NOUN
ཅན་	ཅན་	PART
།		PUNCT
		
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
ལ་	ལ་	ADP
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
འི་	གི་	PART
རབ་བྱེད་	རབ་བྱེད་	OTHER
སྤེལ་བ་	སྤེལ་བ་	VERB
གོང་མ་	གོང་མ་	ADJ
།		PUNCT
		
རབ་བྱེད་	རབ་བྱེད་	OTHER
འོག་མ་	འོག་མ་	ADJ
།		PUNCT
		
བླ་མ་	བླ་མ་	NOUN
སྤྱི་	སྤྱི་	DET
ཡི་	ཡི་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
མུ་ཏིག་	མུ་ཏིག་	NOUN
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
།		PUNCT
		
ཆོས་རྗེ་པ་	ཆོས་རྗེ་པ་	NOUN
ལ་	ལ་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
གོང་མ་	གོང་མ་	ADJ
།		PUNCT
		
བསྟོད་པ་	བསྟོད་པ་	VERB
འོག་མ་	འོག་མ་	ADJ
།		PUNCT
		
ཆོས་སྤྱོད་	ཆོས་སྤྱོད་	NOUN
བཅུ་པ་	བཅུ་པ་	NUM
ཅུང་ཟད་	ཅུང་ཟད་	ADV
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
སྤེལ་བ་	སྤེལ་བ་	VERB
།		PUNCT
		
ཆོས་སྤྱོད་	ཆོས་སྤྱོད་	NOUN
ཡན་ལག་	ཡན་ལག་	NOUN
བཅུ་པ་	བཅུ་པ་	NUM
།		PUNCT
		
ཆོས་རྗེ་པ་	ཆོས་རྗེ་པ་	NOUN
འི་	གི་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
རི་བོ་	རི་བོ་	NOUN
རྩེ་	རྩེ་	NOUN
ལྔ་	ལྔ་	NUM
ར་	ལ་	PART
སྦྱར་བ་	སྦྱར་བ་	VERB
།		PUNCT
		
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གསུམ་	གསུམ་	NUM
ལ་	ལ་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
།		PUNCT
		
ཆོས་རྗེ་པ་	ཆོས་རྗེ་པ་	NOUN
འི་	གི་	PART
མཚན་	མཚན་	NOUN
སྤེལ་བ་	སྤེལ་བ་	VERB
འི་	གི་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
།		PUNCT
		
ཡང་	ཀྱང་	PART
ཆོས་རྗེ་པ་	ཆོས་རྗེ་པ་	NOUN
ལ་	ལ་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
།		PUNCT
		
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
གོང་	གོང་	NOUN
ཐུགས་	ཐུགས་	NOUN
མ་	མ་	PART
།		PUNCT
		
ཆོས་རྗེ་	ཆོས་རྗེ་	NOUN
ལ་	ལ་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
ཚིགས་བཅད་	ཚིགས་བཅད་	NOUN
གཉིས་	གཉིས་	NUM
།		PUNCT
		
ཡང་	ཀྱང་	PART
དེ་	དེ་	DET
ལ་	ལ་	ADP
བསྟོད་པ་	བསྟོད་པ་	VERB
ཚིགས་བཅད་	ཚིགས་བཅད་	NOUN
གཉིས་	གཉིས་	NUM
།		PUNCT
		
