form	lemma	POS	morph
ཟིན་	ཟིན་	VERB
ཀྱང་	ཀྱང་	PART
གཉེན་པོ་	གཉེན་པོ་	NOUN
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
རྨྀ་		NON_WORD
ལམ་	གམ་	PART
བརྟགས་	བརྟགས་	VERB
ལ་	ལ་	ADP
ངོས་བཟུང་	ངོས་བཟུང་	NOUN
སྟེ་	སྟེ་	PART
།		PUNCT
མྱུར་	མྱུར་	VERB
དུ་	ལ་	PART
འཚོ་བ་	འཚོ་བ་	VERB
འམ་	གམ་	PART
རིང་	རིང་	NOUN
དུ་	ལ་	PART
འགོར་བ་	འགོར་བ་	VERB
འམ་	གམ་	PART
།		PUNCT
སྔོན་	སྔོན་	ADV
གྱི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ཡིན་པ་	ཡིན་པ་	AUX
ར་	ལ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
རོ་	རོ་	NOUN
། །		PUNCT
གདོན་	གདོན་	NOUN
དགྲོལ་	དགྲོལ་	VERB
མི་	མི་	PART
དགོས་པ་	དགོས་པ་	VERB
འི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
གལ་ཏེ་	གལ་ཏེ་	NO_POS
ན་	ན་	ADP
གཟུངས་	གཟུངས་	NOUN
ལ་	ལ་	ADP
བརྟེན་	བརྟེན་	VERB
ན་	ནས་	PART
བསྙེན་པ་	བསྙེན་པ་	VERB
དང་པོ་	དང་པོ་	ADJ
ཐོན་	ཐོན་	VERB
ན་	ནས་	PART
གཟུངས་	གཟུངས་	NOUN
བསྒྲུབ་བྱ་	བསྒྲུབ་བྱ་	VERB
ས་	གིས་	PART
ལ་	ལ་	ADP
།		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
སོས་པ་	སོས་པ་	VERB
ར་	ལ་	PART
རུང་བ་	རུང་བ་	VERB
ཉིད་	ཉིད་	DET
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
སྤོགས་	སྤོགས་	NOUN
ཆོག་	ཆོག་	VERB
གཞན་	གཞན་	DET
ནི་	ནི་	NO_POS
སྔ་མ་	སྔ་མ་	ADJ
དང་	དང་	NO_POS
འདྲ་	འདྲ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ན་	ན་	ADP
ཡང་སོས་	ཡང་སོས་	NO_POS
པར་མ་	པར་མ་	OTHER
ནུས་	ནུས་	VERB
ན་	ན་	ADP
།		PUNCT
སྙིང་	སྙིང་	NOUN
མི་	མི་	PART
དགའ་བ་	དགའ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
བྱུང་	བྱུང་	VERB
ན་	ན་	ADP
།		PUNCT
ཀླུ་	ཀླུ་	NOUN
དང་	དང་	NO_POS
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
དབྱེ་བ་	དབྱེ་བ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
གདམས་ངག་	གདམས་ངག་	NOUN
བཞིན་	བཞིན་	NOUN
ནོ་	གོ་	PART
། །		PUNCT
གྲུབ་	གྲུབ་	VERB
ན་	ན་	ADP
ནི་	ནི་	NO_POS
གདོན་	གདོན་	NOUN
དགྲོལ་	དགྲོལ་	VERB
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
སྲུང་བ་	སྲུང་བ་	VERB
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
གདགས་	གདགས་	NO_POS
སོ་	སོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
མན་ངག་	མན་ངག་	NOUN
ནི་	ནི་	NO_POS
འདི་	འདི་	DET
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ར་	ལ་	PART
དུག་	དུག་	NOUN
ངོས་ཟིན་པ་	ངོས་ཟིན་པ་	NO_POS
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
༑		PUNCT
སེངྒེ་		NON_WORD
སྒྲ་	སྒྲ་	NOUN
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
རྗེས་	རྗེས་	NOUN
ལ་	ལ་	ADP
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཕུཿ་བ་	ཕུཿ་བ་	NON_WORD
སུ་	སུ་	ADP
ཀ་ཡེ་	ཀ་ཡེ་	NO_POS
ཤཾ་		NON_WORD
ཁ་	ཁ་	PRON
པཱ་	པཱ་	NO_POS
ལཱ་	ལཱ་	NO_POS
ཡ་	ཡ་	NOUN
ནཱ་ག་	ནཱ་ག་	X
རཱ་	རཱ་	NO_POS
ཛཱ་	ཛཱ་	NO_POS
ཕུཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
སྭཱཧཱ་		NON_WORD
།		PUNCT
རླུང་	རླུང་	NOUN
དུག་	དུག་	NOUN
གིས་	གིས་	PART
ཟིན་པ་	ཟིན་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
ཏྲི་ཤཱུ་ལ་	ཏྲི་ཤཱུ་ལ་	NO_POS
ལ་	ལ་	ADP
སྦྲུལ་	སྦྲུལ་	NOUN
སེར་པོ་	སེར་པོ་	ADJ
གཉིས་	གཉིས་	NUM
ཁ་སྤྲོད་	ཁ་སྤྲོད་	NOUN
དུ་	ལ་	PART
བྱ་	བྱ་	VERB
ཏེ་	སྟེ་	PART
		
ཞ་	ཞ་	OTHER
		
ཆུ་	ཆུ་	NOUN
འི་	གི་	PART
		
སྔགས་	སྔགས་	NOUN
བཟླ་བ་	བཟླ་བ་	NO_POS
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
ཡང་སྙིང་པོ་	ཡང་སྙིང་པོ་	NOUN
འི་	གི་	PART
རྗེས་	རྗེས་	NOUN
ལ་	ལ་	ADP
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཕུཿ་		NON_WORD
ཨ་	ཨ་	X
ནནྟཱ་		NON_WORD
ཡ་	ཡ་	NOUN
ཀུ་	ཀུ་	NO_POS
ལི་	ལི་	OTHER
ཀཱ་	ཀཱ་	NO_POS
ཡེ་	ཡེ་	ADV
ནཱ་ག་	ནཱ་ག་	X
རཱ་	རཱ་	NO_POS
ཛ་	ཛ་	OTHER
ཕུཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
སྭཱཧཱ་		NON_WORD
།		PUNCT
ཚ་	ཚ་	VERB
ཞིང་	ཞིང་	SCONJ
གདུང་བ་	གདུང་བ་	VERB
མེ་	མེ་	NOUN
འི་	གི་	PART
དུག་	དུག་	NOUN
གིས་	གིས་	PART
ཟིན་པ་	ཟིན་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
ཏྲི་ཤཱུ་ལ་	ཏྲི་ཤཱུ་ལ་	NO_POS
ལ་	ལ་	ADP
སྦྲུལ་	སྦྲུལ་	NOUN
དཀར་པོ་	དཀར་པོ་	ADJ
རྩེ་སྤྲོད་	རྩེ་སྤྲོད་	NO_POS
དུ་	ལ་	PART
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
འབྱུང་བ་	འབྱུང་བ་	VERB
ཆུ་	ཆུ་	NOUN
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
བཟླས་	བཟླས་	NO_POS
སོ་	སོ་	PART
། །		PUNCT
ཡང་སྙིང་པོ་	ཡང་སྙིང་པོ་	NOUN
འི་	གི་	PART
རྗེས་	རྗེས་	NOUN
ལ་	ལ་	ADP
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཕུཿ་		NON_WORD
པདྨ་	པདྨ་	NOUN
ཡེ་	ཡེ་	ADV
ཏཀྵ་		NON_WORD
ཀཱ་	ཀཱ་	NO_POS
ཡ་	ཡ་	NOUN
ནཱ་ག་	ནཱ་ག་	X
རཱ་	རཱ་	NO_POS
ཛ་	ཛ་	OTHER
ཕུཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ས་དུག་	ས་དུག་	NO_POS
གིས་	གིས་	PART
ཟིན་པ་	ཟིན་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
མེ་	མེ་	NOUN
བཟླས་	བཟླས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
ཏྲི་ཤཱུ་ལ་	ཏྲི་ཤཱུ་ལ་	NO_POS
ལ་	ལ་	ADP
སྦྲུལ་	སྦྲུལ་	NOUN
དམར་པོ་	དམར་པོ་	ADJ
གཉིས་	གཉིས་	NUM
ཁ་སྤྲོད་	ཁ་སྤྲོད་	NOUN
དུ་	ལ་	PART
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
འབྱུང་བ་	འབྱུང་བ་	VERB
མེ་	མེ་	NOUN
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
བཟླས་	བཟླས་	NO_POS
སོ་	སོ་	PART
། །		PUNCT
ཡང་སྙིང་པོ་	ཡང་སྙིང་པོ་	NOUN
འི་	གི་	PART
རྗེས་	རྗེས་	NOUN
ལ་	ལ་	ADP
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཕུཿ་		NON_WORD
མ་	མ་	PART
ཧཱ་		NON_WORD
པདྨ་	པདྨ་	NOUN
ཡ་	ཡ་	NOUN
ཀརྐོ་	ཀརྐོ་	NO_POS
ཊཱ་		NON_WORD
ཡ་	ཡ་	NOUN
ནཱ་ག་	ནཱ་ག་	X
རཱ་	རཱ་	NO_POS
ཛ་	ཛ་	OTHER
ཕུཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ཆུ་	ཆུ་	NOUN
དུག་	དུག་	NOUN
གིས་	གིས་	PART
ཟིན་པ་	ཟིན་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
