form	lemma	POS	morph
གཙོ་བོ་	གཙོ་བོ་	ADJ
རྟག་པ་	རྟག་པ་	VERB
ར་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ཡི་	ཡི་	ADP
། །		PUNCT
རྒྱུ་	རྒྱུ་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
ར་	ལ་	PART
ནི་	ནི་	NO_POS
གྲངས་	གྲངས་	NOUN
ཅན་	ཅན་	PART
འདོད་	འདོད་	VERB
། །		PUNCT
ཅེས་	ཅེས་	PART
སོ་	སོ་	PART
།།		PUNCT
གྲངས་	གྲངས་	NOUN
ཅན་པ་	ཅན་པ་	PART
འི་	གི་	PART
བྱེ་བྲག་	བྱེ་བྲག་	NOUN
ཁ་ཅིག་	ཁ་ཅིག་	PRON
འགྲོ་བ་	འགྲོ་བ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
གིས་	གིས་	PART
བྱས་པ་	བྱས་པ་	VERB
ར་	ལ་	PART
འདོད་	འདོད་	VERB
དེ་	དེ་	DET
།		PUNCT
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
མཆོད་པ་	མཆོད་པ་	VERB
ལེགས་	ལེགས་	VERB
ཏེ་	སྟེ་	PART
མཉེས་	མཉེས་	VERB
ན་	ན་	ADP
མཐོ་རིས་	མཐོ་རིས་	NOUN
སུ་	སུ་	ADP
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	ADP
།		PUNCT
མཆོད་	མཆོད་	VERB
ཉེ་	ཉེ་	VERB
ས་	གིས་	PART
ན་	ནས་	PART
མ་	མ་	PART
མཉེས་	མཉེས་	VERB
ན་	ན་	ADP
ངན་སོང་	ངན་སོང་	NOUN
དུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
དེ་	དེ་	DET
།		PUNCT
ཇི་སྐད་	ཇི་སྐད་	NO_POS
དུ་	ལ་	PART
།		PUNCT
		
སྐྱེ་བོ་	སྐྱེ་བོ་	NOUN
ཤེས་པ་	ཤེས་པ་	VERB
ཡོད་པ་	ཡོད་པ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
		
ཞ་	ཞ་	OTHER
		
སྐྱེ་བ་པོ་	སྐྱེ་བ་པོ་	VERB
ནི་	ནི་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
ཡོད་	ཡོད་	VERB
མིན་	མིན་	AUX
ཏེ་	སྟེ་	PART
		
། །		PUNCT
བདག་	བདག་	PRON
གི་	གི་	PART
བདེ་སྡུག་	བདེ་སྡུག་	OTHER
བདག་	བདག་	PRON
ལ་	ལ་	ADP
རང་དབང་	རང་དབང་	NOUN
མེད་	མེད་	VERB
། །		PUNCT
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
གིས་	གིས་	PART
བསྐུལ་	བསྐུལ་	VERB
ཡང་ན་	ཡང་ན་	NO_POS
མཐོ་རིས་	མཐོ་རིས་	NOUN
སམ་	གམ་	PART
། །		PUNCT
གཡང་ས་	གཡང་ས་	NO_POS
དག་	དག་	DET
ཏུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ཁོ་ན་	ཁོ་ན་	DET
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
། །		PUNCT
ཞེས་་	ཞེས་པ་	PART
དང་	དང་	NO_POS
།		PUNCT
གདོང་	གདོང་	NOUN
མཇུག་	མཇུག་	NOUN
དབྱིབས་	དབྱིབས་	NOUN
ཀྱི་	གི་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
དོན་	དོན་	NOUN
བྱེད་	བྱེད་	VERB
ནུས་པ་	ནུས་པ་	VERB
གང་ཡིན་པ་	གང་ཡིན་པ་	NO_POS
། །		PUNCT
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
རྟག་པ་	རྟག་པ་	VERB
འགྲོ་བ་	འགྲོ་བ་	VERB
ཡི་	ཡི་	ADP
། །		PUNCT
རྒྱུ་	རྒྱུ་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
ར་	ལ་	PART
ནི་	ནི་	NO_POS
གྲུབ་པ་	གྲུབ་པ་	VERB
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
ཞེ་	ཅེས་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
གི་	གི་	PART
		
ལྷ་	ལྷ་	NOUN
རྟག་	རྟག་	VERB
		
ཞ་	ཞ་	OTHER
		
ལྟ་བ་	ལྟ་བ་	VERB
བརྟག་	བརྟག་	VERB
		
པ་	པ་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
བཤད་	བཤད་	VERB
།		PUNCT
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ནི་	ནི་	NO_POS
ཆོ་	ཆོ་	NOUN
ལྔ་	ལྔ་	NUM
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
རྟག་པ་	རྟག་པ་	VERB
གཅིག་པུ་	གཅིག་པུ་	ADJ
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ར་	ལ་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
།		PUNCT
གཙང་	གཙང་	PROPN
ཞིང་	ཞིང་	SCONJ
མཆོད་པ་	མཆོད་པ་	VERB
ར་	ལ་	PART
འོས་པ་	འོས་པ་	VERB
འགྲོ་བ་	འགྲོ་བ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱི་	གི་	PART
བྱེད་པ་པོ་	བྱེད་པ་པོ་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
འོ་	གོ་	PART
ཞེ་	ཅེས་	PART
སྨྲ་བ་	སྨྲ་བ་	VERB
ར་	ལ་	PART
བྱེད་	བྱེད་	VERB
དོ་	གོ་	PART
།། །།		PUNCT
ངོ་བོ་	ངོ་བོ་	NOUN
ཉིད་	ཉིད་	DET
རྒྱུ་	རྒྱུ་	NOUN
ར་	ལ་	PART
སྨྲ་བ་	སྨྲ་བ་	VERB
ཞེ་	ཅེས་	PART
ཀྱང་	ཀྱང་	PART
བྱ་	བྱ་	VERB
།		PUNCT
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
ཞེ་	ཅེས་	PART
ཀྱང་	ཀྱང་	PART
བྱ་	བྱ་	VERB
།		PUNCT
དྲང་སྲོང་	དྲང་སྲོང་	NOUN
ཕུར་བུ་	ཕུར་བུ་	PROPN
འི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
འབྲངས་	འབྲངས་	VERB
ན་	ནས་	PART
ཕུར་བུ་པ་	ཕུར་བུ་པ་	PROPN
ཞེ་	ཅེས་	PART
ཀྱང་	ཀྱང་	PART
ཟེ་	ཟེ་	VERB
རོ་	རོ་	NOUN
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ལུགས་	ལུགས་	NOUN
ནི་	ནི་	NO_POS
སྣོད་བཅུད་	སྣོད་བཅུད་	NOUN
ཀྱི་	གི་	PART
ཁ་དོག་	ཁ་དོག་	NOUN
དང་	དང་	NO_POS
།		PUNCT
དབྱིབས་	དབྱིབས་	NOUN
དང་	དང་	NO_POS
རྣམ་པ་	རྣམ་པ་	NOUN
མི་	མི་	PART
འདྲ་བ་	འདྲ་བ་	VERB
ཡོད་པ་	ཡོད་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
སུ་	སུ་	ADP
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
མ་	མ་	PART
བྱ་	བྱ་	VERB
ངོ་བོ་	ངོ་བོ་	NOUN
ཉིད་	ཉིད་	DET
ཀྱིས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
ཇི་སྐད་	ཇི་སྐད་	NO_POS
དུ་	ལ་	PART
།		PUNCT
ཉི་ཤར་	ཉི་ཤར་	NO_POS
ཆུ་བོ་	ཆུ་བོ་	NOUN
ཐུར་	ཐུར་	NOUN
དུ་	ལ་	PART
འབབ་པ་	འབབ་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
སྲན་	སྲན་	NO_POS
ཟླུམ་	ཟླུམ་	NO_POS
ཚེར་མ་	ཚེར་མ་	NOUN
གཟང་རིང་	གཟང་རིང་	NO_POS
