form	lemma	POS	morph
ཅན་	ཅན་	PART
ལ་	ལ་	ADP
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འི་	གི་	PART
སྟོབས་ལྡན་པ་	སྟོབས་ལྡན་པ་	ADJ
ས་	གིས་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ལ་	ལ་	ADP
བརྟེན་	བརྟེན་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
སེམས་	སེམས་	NOUN
ཀྱིས་	གིས་	PART
སློབ་མ་	སློབ་མ་	NOUN
ལ་	ལ་	ADP
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
གང་ཡང་	གང་ཡང་	NO_POS
རུང་བ་	རུང་བ་	VERB
ལོ་	ལོ་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
ན་	ནས་	PART
ཉི་ཤུ་	ཉི་ཤུ་	NUM
རྩ་	རྩ་	NUM
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
བ་	བ་	NOUN
ལོན་པ་	ལོན་པ་	VERB
ལ་	ལ་	ADP
ས་བོན་	ས་བོན་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
རིགས་	རིགས་	NOUN
ཀྱི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
དག་པ་	དག་པ་	VERB
ནི་	ནི་	NO_POS
ཡུམ་	ཡུམ་	NOUN
གྱི་	གི་	PART
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
ལ་	ལ་	ADP
སོག་པ་	སོག་པ་	VERB
ལྔ་	ལྔ་	NUM
ར་	ལ་	PART
		
ས་བོན་	ས་བོན་	NOUN
ལཾ་		NON_WORD
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལྔ་	ལྔ་	NUM
བཀོད་	བཀོད་	VERB
ལ་	ལ་	ADP
ཡབ་	ཡབ་	NOUN
ཀྱི་	གི་	PART
སྤྱྀ་བོ་	སྤྱྀ་བོ་	NON_WORD
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལྔ་	ལྔ་	NUM
ར་	ལ་	PART
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ལྔ་	ལྔ་	NUM
