form	lemma	POS	morph
གསུངས་པ་	གསུངས་པ་	VERB
། །		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཁྲོ་བོ་	ཁྲོ་བོ་	NOUN
ཨག་	ཨག་	NO_POS
ཚ་	ཚ་	VERB
ཆེ་	ཆེ་	VERB
ཟེ་	ཟེ་	VERB
།		PUNCT
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
ཆེ་	ཆེ་	VERB
། །		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཞལ་	ཞལ་	NOUN
གཅིག་	གཅིག་	NUM
ཕྱག་	ཕྱག་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
། །		PUNCT
སྙིང་	སྙིང་	NOUN
གཡོན་	གཡོན་	NOUN
།		PUNCT
ཁ་	ཁ་	PRON
ར་	ལ་	PART
མནན་པ་	མནན་པ་	VERB
འི་	གི་	PART
ཁུ་ཚུར་	ཁུ་ཚུར་	NOUN
འཛུག་		NON_WORD
།		PUNCT
གཡའ་	གཡའ་	NOUN
ན་	ན་	ADP
རང་	རང་	PRON
གི་	གི་	PART
རང་	རང་	PRON
།		PUNCT
མཚོན་ཆ་	མཚོན་ཆ་	NOUN
འཕྱར་	འཕྱར་	VERB
། །		PUNCT
གཤིན་རྗེ་	གཤིན་རྗེ་	OTHER
གསོད་པ་	གསོད་པ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཐོ་བ་	ཐོ་བ་	VERB
།		PUNCT
དབྱིག་	དབྱིག་	NOUN
ཐོ་	ཐོ་	NOUN
སྟེ་	སྟེ་	PART
།		PUNCT
གཞན་	གཞན་	DET
གྱིས་	གིས་	PART
མི་	མི་	PART
ཐུབ་	ཐུབ་	VERB
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ས་	ས་	ADP
མཚན་པ་	མཚན་པ་	VERB
འི་	གི་	PART
།		PUNCT
དབྱིག་	དབྱིག་	NOUN
།		PUNCT
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
ལ་	ལ་	ADP
ནི་	ནི་	NO_POS
དབང་མཆོག་	དབང་མཆོག་	NO_POS
པདྨ་	པདྨ་	NOUN
།		PUNCT
དམར་	དམར་	VERB
། །		PUNCT
མི་	མི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
།		PUNCT
ཕྱེད་	ཕྱེད་	NUM
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
སྦྱོར་	སྦྱོར་	VERB
ལ་	ལ་	ADP
། །		PUNCT
ཊཀྐི་		NON_WORD
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
མི་	མི་	PART
གཡོ་	གཡོ་	VERB
།		PUNCT
ལྕགས་ཀྱུ་	ལྕགས་ཀྱུ་	NOUN
སྟེ་	སྟེ་	PART
། །		PUNCT
དབྱིག་	དབྱིག་	NOUN
སྔོན་	སྔོན་	ADV
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ས་	གིས་	PART
མཚན་པ་	མཚན་པ་	VERB
འི་	གི་	PART
།		PUNCT
ཅན་	ཅན་	PART
ལ་	ལ་	ADP
