form	lemma	POS	morph
ཚོགས་	ཚོགས་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
ར་	ལ་	PART
འཛིན་	འཛིན་	VERB
། །		PUNCT
མི་	མི་	PART
སྡུག་	སྡུག་	VERB
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
ཞལ་	ཞལ་	NOUN
ན་	ནས་	PART
ཧཱུྃ་		NON_WORD
སྤྲོ་	སྤྲོ་	NO_POS
ཞིང་	ཞིང་	SCONJ
། །		PUNCT
རྒོད་	རྒོད་	NOUN
།		PUNCT
ཐལ་བ་	ཐལ་བ་	NOUN
ས་	གིས་	PART
སྐུ་	སྐུ་	NOUN
ལ་	ལ་	ADP
བྱུགས་པ་	བྱུགས་པ་	VERB
ཉིད་	ཉིད་	DET
། །		PUNCT
སྒེག་	སྒེག་	VERB
བདག་མེད་	བདག་མེད་	ADJ
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
མཉམ་	མཉམ་	VERB
སྦྱོར་	སྦྱོར་	VERB
ཞིང་	ཞིང་	SCONJ
། །		PUNCT
དགའ་བ་	དགའ་བ་	VERB
ཐབས་ཤེས་	ཐབས་ཤེས་	NOUN
གཉིས་	གཉིས་	NUM
བཱོ་		NON_WORD
ལ་	ལ་	ADP
ཀ་	ཀ་	DET
ཀྐོ་		NON_WORD
ལ་	ལ་	ADP
གཉིས་	གཉིས་	NUM
སྙོམས་འཇུག་པ་	སྙོམས་འཇུག་པ་	NO_POS
ས་	གིས་	PART
། །		PUNCT
རྟོག་པ་	རྟོག་པ་	VERB
འི་	གི་	PART
རྦ་རླབས་	རྦ་རླབས་	OTHER
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
ཅན་	ཅན་	PART
། །		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
ཞལ་	ཞལ་	NOUN
ནི་	ནི་	NO_POS
བཞད་	བཞད་	VERB
ཅིང་	ཅིང་	PART
གནག་	གནག་	VERB
།		PUNCT
དྲག་ཤུལ་	དྲག་ཤུལ་	NOUN
།		PUNCT
གཡས་པ་	གཡས་པ་	VERB
ལ་	ལ་	ADP
ནི་	ནི་	NO_POS
ཀུན་ད་	ཀུན་ད་	OTHER
མཚུངས་	མཚུངས་	VERB
། །		PUNCT
ཞི་བ་	ཞི་བ་	VERB
།		PUNCT
གཡོན་པ་	གཡོན་པ་	ADJ
དམར་	དམར་	VERB
ཞིང་	ཞིང་	SCONJ
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
