form	lemma	POS	morph
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
སྔོན་	སྔོན་	ADV
དུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ས་	གིས་	PART
བསང་	བསང་	OTHER
ཞིང་	ཞིང་	SCONJ
སྦྱངས་པ་	སྦྱངས་པ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ས་བོན་	ས་བོན་	NOUN
སོ་སོ་	སོ་སོ་	PRON
ལ་	ལ་	ADP
ས་	གིས་	PART
རིགས་	རིགས་	NOUN
ལྔ་	ལྔ་	NUM
ཡབ་ཡུམ་	ཡབ་ཡུམ་	NOUN
དུ་	ལ་	PART
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
ལ་	ལ་	ADP
།		PUNCT
གནས་	གནས་	NOUN
གསུམ་	གསུམ་	NUM
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབས་	བརླབས་	NO_POS
ན་	ནས་	PART
འབར་བ་	འབར་བ་	VERB
འི་	གི་	PART
ལྟ་བ་	ལྟ་བ་	VERB
ས་	གིས་	PART
ཡེ་ཤེས་པ་	ཡེ་ཤེས་པ་	NOUN
སྤྱན་	སྤྱན་	NOUN
དྲངས་པ་	དྲངས་པ་	VERB
བསྟིམ་	བསྟིམ་	NO_POS
ཞིང་	ཞིང་	SCONJ
དབང་	དབང་	NOUN
བསྐུར་	བསྐུར་	NO_POS
ན་	ནས་	PART
རིགས་	རིགས་	NOUN
ཀྱི་	གི་	PART
བདག་པོ་	བདག་པོ་	NOUN
འི་	གི་	PART
རྒྱ་	རྒྱ་	VERB
བཏབ་	བཏབ་	VERB
ལ་	ལ་	ADP
།		PUNCT
གཏོར་མ་	གཏོར་མ་	NOUN
འི་	གི་	PART
བ་	བ་	NOUN
གྱིས་	གིས་	PART
མཆོད་ནས་	མཆོད་ནས་	NO_POS
སྙོམས་པ་		
ཞུགས་	ཞུགས་	VERB
ཏེ་	སྟེ་	PART
བདེ་བ་	བདེ་བ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
མེ་	མེ་	NOUN
ས་	གིས་	PART
འོད་	འོད་	NOUN
དུ་	ལ་	PART
ཞུ་བ་	ཞུ་བ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
འི་	གི་	PART
ཐིག་ཚོན་	ཐིག་ཚོན་	NO_POS
དུ་	ལ་	PART
བསྐྱེད་	བསྐྱེད་	VERB
ན་	ནས་	PART
མཐེབ་སྲིན་	མཐེབ་སྲིན་	NO_POS
གྱིས་	གིས་	PART
མཉེ་	མཉེ་	NO_POS
ཞིང་	ཞིང་	SCONJ
།		PUNCT
ཨོྃ་		NON_WORD
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཞེ་	ཅེས་	PART
ཡང་ཡང་	ཡང་ཡང་	NO_POS
བརྗོད་	བརྗོད་	VERB
དོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
རང་ཉིད་	རང་ཉིད་	OTHER
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
སློབ་མ་	སློབ་མ་	NOUN
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
མ་	མ་	PART
འི་	གི་	PART
ང་རྒྱལ་	ང་རྒྱལ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ལྡན་པ་	ལྡན་པ་	VERB
ས་	གིས་	PART
ནུབ་	ནུབ་	ADV
དང་	དང་	NO_POS
ཤ་	ཤ་	VERB
དུ་	ལ་	PART
ལངས་	ལངས་	VERB
ལ་	ལ་	ADP
གཉིས་ཀ་	གཉིས་ཀ་	OTHER
ས་	གིས་	PART
ཛ་	ཛ་	OTHER
ཞེ་	ཅེས་	PART
བརྗོད་	བརྗོད་	VERB
ཅིང་	ཅིང་	PART
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱིས་	གིས་	PART
ཐིག་	ཐིག་	NOUN
སྣ་	སྣ་	NOUN
གཏད་པ་	གཏད་པ་	VERB
སློབ་མ་	སློབ་མ་	NOUN
ས་	གིས་	PART
བླངས་	བླངས་	VERB
ན་	ནས་	PART
ཆོ་	ཆོ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
རོ་	རོ་	NOUN
གཅིག་པ་	གཅིག་པ་	ADJ
ར་	ལ་	PART
བསམ་	བསམ་	NOUN
ཞིང་	ཞིང་	ADP
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨ་	ཨ་	X
ནྱོ་		NON_WORD
ནྱ་	ནྱ་	NO_POS
ཨ་ནུ་	ཨ་ནུ་	NOUN
ག་	ག་	PRON
ཏ་	ཏ་	OTHER
།		PUNCT
སརྦ་	སརྦ་	NO_POS
དྷརྨཱ་		NON_WORD
སྥ་		NON_WORD
ར་	ར་	ADP
སྥ་		NON_WORD
ར་	ར་	ADP
ཨ་ནུ་	ཨ་ནུ་	NOUN
ག་	ག་	PRON
ཏ་	ཏ་	OTHER
།		PUNCT
སརྦ་	སརྦ་	NO_POS
དྷརྨཱ་		NON_WORD
ཨ་	ཨ་	X
ཏྱནྟ་		NON_WORD
ཨ་ནུ་	ཨ་ནུ་	NOUN
ག་	ག་	PRON
ཏ་	ཏ་	OTHER
༑		PUNCT
སརྦ་	སརྦ་	NO_POS
དྷརྨཱ་		NON_WORD
ཨ་	ཨ་	X
ཏྱནྟ་		NON_WORD
ཨ་ནུ་	ཨ་ནུ་	NOUN
པྲ་	པྲ་	NOUN
བེ་	བེ་	NO_POS
ཤ་	ཤ་	NOUN
ཡ་	ཡ་	NOUN
སརྦ་	སརྦ་	NO_POS
དྷརྨཱ་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
བརྗོད་	བརྗོད་	VERB
ཅིང་	ཅིང་	PART
བསྒྲིལ་བ་	བསྒྲིལ་བ་	VERB
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ལྟེ་བ་	ལྟེ་བ་	NOUN
ལ་	ལ་	ADP
དཀྲིས་		NON_WORD
ལ་	ལ་	ADP
བདུད་རྩི་	བདུད་རྩི་	NOUN
གཏོ་	གཏོ་	VERB
ན་	ནས་	PART
སླར་ཡང་	སླར་ཡང་	OTHER
བརྐྱང་བ་	བརྐྱང་བ་	VERB
སློབ་མ་	སློབ་མ་	NOUN
ས་	གིས་	PART
བཟུང་	བཟུང་	NO_POS
སྟེ་	སྟེ་	PART
ལག་པ་	ལག་པ་	NOUN
གཡས་པ་	གཡས་པ་	VERB
འི་	གི་	PART
མཐེབ་སྲིན་	མཐེབ་སྲིན་	NO_POS
གྱིས་	གིས་	PART
སྟེང་	སྟེང་	NOUN
ན་	ནས་	PART
འོག་	འོག་	NOUN
དང་	དང་	NO_POS
འོག་	འོག་	NOUN
ན་	ནས་	PART
སྟེང་	སྟེང་	NOUN
དུ་	ལ་	PART
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལ་	ལ་	ADP
ཐིག་	ཐིག་	NOUN
དང་པོ་	དང་པོ་	ADJ
གདབ་བོ་	གདབ་བོ་	NO_POS
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
གཡས་སྐོར་	གཡས་སྐོར་	NO_POS
གྱིས་	གིས་	PART
ལྷོ་	ལྷོ་	NOUN
ན་	ནས་	PART
བྱང་	བྱང་	NOUN
དང་	དང་	NO_POS
མེ་	མེ་	NOUN
ན་	ནས་	PART
དབང་ལྡན་	དབང་ལྡན་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
རླུང་	རླུང་	NOUN
ན་	ནས་	PART
བདེན་བྲལ་	བདེན་བྲལ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
ན་	ནས་	PART
དབང་ལྡན་	དབང་ལྡན་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
མེ་	མེ་	NOUN
ན་	ནས་	PART
སྲིན་པོ་	སྲིན་པོ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
མེ་	མེ་	NOUN
ན་	ནས་	PART
རླུང་	རླུང་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བདེན་བྲལ་	བདེན་བྲལ་	NO_POS
ན་	ནས་	PART
དབང་ལྡན་	དབང་ལྡན་	NO_POS
དུ་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
ས་	གིས་	PART
སྔ་མ་	སྔ་མ་	ADJ
བཞིན་	བཞིན་	NOUN
གདབ་	གདབ་	NO_POS
ཅིང་	ཅིང་	PART
།		PUNCT
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
གང་བ་	གང་བ་	VERB
འི་	གི་	PART
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་	གཤེགས་	VERB
། །		PUNCT
འགྲོ་དོན་	འགྲོ་དོན་	NOUN
མཛད་	མཛད་	VERB
དུས་	དུས་	NOUN
འདི་	འདི་	DET
ལགས་པ་	ལགས་པ་	AUX
