form	lemma	POS	morph
ཞུ་བ་	ཞུ་བ་	VERB
དང་	དང་	NO_POS
བདེ་བ་	བདེ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
རང་བཞིན་	རང་བཞིན་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཞེས་་	ཞེས་པ་	PART
མི་	མི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
གསུམ་པོ་	གསུམ་པོ་	NUM
དེ་ལས་	དེ་ལས་	NO_POS
སྐྱེ་	སྐྱེ་	VERB
། །		PUNCT
ཞེས་་	ཞེས་པ་	PART
ཞུ་	ཞུ་	VERB
བདེ་	བདེ་	VERB
དེ་	དེ་	DET
ལམ་	གམ་	PART
དུ་	ལ་	PART
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
སྐུ་གསུང་ཐུགས་	སྐུ་གསུང་ཐུགས་	NOUN
གསུམ་	གསུམ་	NUM
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
ས་	གིས་	PART
ན་	ན་	ADP
འོ་	གོ་	PART
། །		PUNCT
ཐབས་	ཐབས་	NOUN
ཀྱིས་	གིས་	PART
མ་ཟིན་	མ་ཟིན་	NO_POS
ན་	ན་	ADP
བུ་ཚ་	བུ་ཚ་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
སྐྱེད་པ་	སྐྱེད་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
ས་	གིས་	PART
ན་	ན་	ADP
།		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
གསུམ་	གསུམ་	NUM
ཁམས་	ཁམས་	NOUN
གསུམ་	གསུམ་	NUM
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
གསུམ་	གསུམ་	NUM
སྐྱེད་པ་	སྐྱེད་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འོ་	གོ་	PART
།		PUNCT
ཁུ་བ་	ཁུ་བ་	NOUN
འི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
བཅོམ་ལྡན་	བཅོམ་ལྡན་	NOUN
ཏེ་	སྟེ་	PART
། །		PUNCT
ཡབ་	ཡབ་	NOUN
མཚོན་	མཚོན་	NOUN
ལ་	ལ་	ADP
།		PUNCT
དེ་	དེ་	DET
ཡི་	ཡི་	ADP
བདེ་བ་	བདེ་བ་	VERB
འདོད་མ་	འདོད་མ་	NO_POS
སྟེ་	སྟེ་	PART
། །		PUNCT
ཡུམ་	ཡུམ་	NOUN
མཚོན་པ་	མཚོན་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
སྐྱེས་པ་	སྐྱེས་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དེ་	དེ་	DET
འི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
