form	lemma	POS	morph
སྙོམས་པ་		
འཇུག་	འཇུག་	VERB
ལ་	ལ་	ADP
རེག་པ་	རེག་པ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
མི་བསྐྱོད་པ་	མི་བསྐྱོད་པ་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
།		PUNCT
འདི་ཉིད་	འདི་ཉིད་	OTHER
སྤྱན་	སྤྱན་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ར་	ལ་	PART
།		PUNCT
གྱུར་པ་	གྱུར་པ་	VERB
ས་	གིས་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དང་	དང་	NO_POS
མཉམ་པ་	མཉམ་པ་	VERB
ར་	ལ་	PART
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
སྒྱུ་མ་	སྒྱུ་མ་	NOUN
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
ཀྱིས་	གིས་	PART
གང་ཞིག་	གང་ཞིག་	NO_POS
ཟག་པ་	ཟག་པ་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
བདེ་བ་	བདེ་བ་	VERB
ས་	གིས་	PART
ཡིད་	ཡིད་	NOUN
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
མང་པོ་	མང་པོ་	ADJ
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
རོ་	རོ་	NOUN
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
སྡོམ་པ་	སྡོམ་པ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
ཅི་ཞིག་	ཅི་ཞིག་	NO_POS
བགྱི་	བགྱི་	VERB
འི་	གི་	PART
ལན་	ལན་	NOUN
།		PUNCT
སྒྲ་	སྒྲ་	NOUN
ས་	གིས་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
འི་	གི་	PART
དོན་	དོན་	NOUN
གྱིས་	གིས་	PART
།		PUNCT
བརྗོད་པ་	བརྗོད་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
སཾ་		NON_WORD
སུ་	སུ་	ADP
ཀཞེས་		NON_WORD
བྱ་བ་	བྱ་བ་	VERB
ནི་	ནི་	NO_POS
བདེ་བ་	བདེ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
བྷ་	བྷ་	NO_POS
ར་	ར་	ADP
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ནི་	ནི་	NO_POS
ཁྱད་པར་	ཁྱད་པར་	NOUN
དུ་	ལ་	PART
འཕགས་པ་	འཕགས་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
ཏོ་	གོ་	PART
། །		PUNCT
མཛད་པ་	མཛད་པ་	VERB
རྒྱ་	རྒྱ་	VERB
།		PUNCT
བུད་མེད་	བུད་མེད་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
སྒྱུ་མ་	སྒྱུ་མ་	NOUN
ཅིའི་	ཅིའི་	NO_POS
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
སྤྱན་	སྤྱན་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
།		PUNCT
ནི་	ནི་	NO_POS
གོང་	གོང་	NOUN
དུ་	ལ་	PART
གསུངས་	གསུངས་	VERB
སོ་	སོ་	PART
། །		PUNCT
གོང་	གོང་	NOUN
དུ་	ལ་	PART
།		PUNCT
སྒྱུ་མ་	སྒྱུ་མ་	NOUN
